Dider Deschamps
1070.00
7

Hugo Lloris (Tottenham Hotspur)
Steve Mandanda (Marseille)
Alphonse Areola (PSG)

Djibril Sidibé (AS Monaco)
Benjamin Pavard (VfB Stuttgart)
Raphaël Varane (Real Madrid)
Presnel Kimpembe (PSG)
Adil Rami (Marseille)
Samuel Umtiti (FC Barcelona)
Lucas Hernandez (Atlético Madrid)
Benjamin Mendy (Manchester City)

Paul Pogba (Manchester United)
N’Golo Kanté (FC Chelsea)
Corentin Tolisso (FC Bayern München)
Blaise Matuidi (Juventus Turin)
Steven N’Zonzi (FC Sevilla)
Thomas Lemar (AS Monaco)

Kylian Mbappé (PSG)
Olivier Giroud (FC Chelsea)
Antoine Griezmann (Atlético Madrid)
Ousmane Dembélé (FC Barcelona)
Nabil Fékir (Lyon)
Florian Thauvin (Marseille)
