Vahid Halilhodžić
74.30
60

Eiji Kawashima (Metz)
Masaaki Higashiguchi (Gamba Osaka)
Kosuke Nakamura (Kashiwa Reysol)

Yuto Nagatomo (Galatasaray)
Tomoaki Makino (Urawa Red Diamonds)
Wataru Endo (Urawa Red Diamonds)
Maya Yoshida (FC Southampton)
Hiroki Sakai (Marseille)
Gotoku Sakai (Hamburger SV)
Gen Shoji (Kashima Antlers)
Naomichi Ueda (Kashima Antlers)

Makoto Hasebe (Eintracht Frankfurt)
Toshihiro Aoyama (Sanfrecce Hiroshima)
Keisuke Honda (Pachuca CF)
Takashi Inui (Eibar)
Shinji Kagawa (Dortmund)
Hotaru Yamaguchi (Cerezo Osaka)
Genki Haraguchi (Fortuna Düsseldorf)
Takashi Usami (Fortuna Düsseldorf)
Gaku Shibasaki (FC Getafe)
Ryota Oshima (Kawasaki Frontale)
Kento Misao (Kashima Antlers)
Yosuke Ideguchi (Leonesa)

Shinji Okazaki (Leicester City)
Yuya Osako (1. FC Köln)
Yoshinori Muto (Mainz)
Takuma Asano (VfB Stuttgart)
