Ricardo Garec
35.10
11

Pedro Gallese (Tiburones Rojos)
Jose Carvallo (UTC Cajamarca)
Carlos Caceda (Tiburones Rojos

Luis Abram (CA Velez Sarsfield)
Luis Advincula (Lobos BUAP)
Miguel Araujo (Alianza Lima)
Aldo Corzo (Universitario de Deportes)
Nilson Loyola (FBC Melgar)
Christian Ramos (Tiburones Rojos)
Alberto Junior Rodríguez (Júnior FC)
Anderson Santamaría (Puebla FC)
Miguel Trauco (CR Flamengo)

Pedro Aquino (Lobos BUAP)
Wilder Cartagena (Tiburones Rojos)
Christian Cueva (Sao Paulo FC)
Edison Flores (Aalborg BK)
Paolo Hurtado (Vitoria Guimaraes)
Sergio Pena (FC Grenada)
Andy Polo (Portland Timbers)
Renato Tapia (Feyenoord Rotterdam)
Yoshimar Yotun (Orlando City)

Andre Carrillo (FC Watford)
Raul Ruidiaz (Monarcas Morelia)
Jefferson Farfán (Lokomotive Moskau)
