Oscar Tabarez
384.50
17

Fernando Muslera (Galatasaray)
Martin Silva (Vasco da Gama)
Martin Campana (Independiente)

Diego Godin (Atlético Madrid)
Sebastian Coates (Sporting Lissabon)
Jose Maria Gimenez (Atlético Madrid)
Maximiliano Pereira (FC Porto)
Gaston Silva (Independiente)
Martin Caceres (Lazio Rom)
Guillermo Varela (Penarol)

Nahitan Nandez (Boca Juniors)
Lucas Torreira (Sampdoria Genua)
Matias Vecino (Inter Mailand)
Federico Valverde (Real Madrid)
Rodrigo Bentancur (Juventus Turin)
Carlos Sanchez (CF Monterrey)
Giorgian De Arrascaeta (Cruzeiro)
Diego Laxalt (Genoa)
Cristian Rodriguez (Penarol)
Urreta (CF Monterrey)
Nicolas Lodeiro (Seattle Sounders)
Gaston Ramirez (Sampdoria Genua)

Cristhian Stuani (Girona)
Maximiliano Gomez (Celta Vigo)
Edinson Cavani (PSG)
Luis Suarez (FC Barcelona)
