Jorge Sampaoli
884.00
5

Franco Armani (River Plate)
Wilfredo Caballero (FC Chelsea)
Sergio Romero (verletzt)
Nahuel Guzman (Tigres UANL)

Marcos Acuña (Sporting Lissabon)
Cristian Ansaldi (FC Turin)
Federico Fazio (AS Rom)
Javier Mascherano (Hebei China Fortune)
Gabriel Mercado (FC Sevilla)
Nicolas Otamendi (Manchester City)
Marcos Rojo (Manchester United)
Eduardo Salvio (Benfica Lissabon)
Nicolas Tagliafico (Ajax Amsterdam)

Ever Banega (FC Sevilla)
Lucas Biglia (AC Mailand)
Angel Di Maria (Paris St. Germain)
Manuel Lanzini (West Ham United)
Giovani Lo Celso (Paris St. Germain)
Maximiliano Meza (Independiente)
Cristian Pavon (Boca Juniors)

Sergio Agüero (Manchester City)
Paulo Dybala (Juventus Turin)
Gonzalo Higuain (Juventus Turin)
Lionel Messi (FC Barcelona)
