Carlos Queiroz
50.90
36

Alireza Beiranvand (Persepolis)
Seyed Hossein Hosseini (Esteghlal)
Mohammad Rashid Mazaheri (Zob Ahan)
Amir Abedzadeh (Maritimo)

Ramin Rezaeian (Ostende)
Voria Ghafouri (Esteghlal)
Steven Beitashour (Los Angeles FC)
Seyed Jalal Hosseini (Persepolis)
Mohammad Reza Khanzadeh (Padideh)
Morteza Pouraliganji (Alsaad)
Mohammad Ansari (Persepolis)
Pejman Montazeri (Esteghlal)
Majid Hosseini (Esteghlal)
Milad Mohammadi (Akhmat Grozny)
Omid Noorafkan (Esteghlal)
Saeid Aghaei (Sepahan)
Roozbeh Cheshmi (Esteghlal)

Saeid Ezatolahi (Amkar Perm)
Masoud Shojaei (AEK Athens)
Ahmad Abdollahzadeh (Foolad)
Saman Ghoddos (Ostersunds)
Mehdi Torabi (Saipa)
Ashkan Dejagah (Notthingham Forest)
Omid Ebrahimi (Esteghlal)
Ehsan Hajsafi (Olympiacos)
Ali Karimi (Sepahan)
Soroush Rafiei (Al-khor)
Ali Gholizadeh (Saipa)
Vahid Amiri (Persepolis)

Alireza Jahanbakhsh (AZ Alkmaar)
Karim Ansarifard (Olympiacos)
Mehdi Taremi (Al-Gharafa)
Sardar Azmoun (Rubin Kasan)
Reza Ghoochannejhad (Heerenveen)
Kaveh Rezaei (Charleroi)
