Mladen Krstajic
255.45
35

Vladimir Stojkovic (FK Partizan Belgrad)
Predrag Rajković (Maccabi Tel Aviv)
Aleksandar Jovanović (Aarhus)

Branislav Ivanović (Zenit St. Petersburg)
Matija Nastasic (FC Schalke 04)
Nikola Maksimovic (SSC Napoli)
Stefan Mitrovic (KAA Gent)
Jagos Vukovic (Olympiakos Piräus)
Uros Spajic (RSC Anderlecht)
Milos Veljkovic (Werder Bremen)

Aleksandar Kolarov (AS Roma)
Antonio Rukavina (FC Villareal)
Ivan Obradovic (RSC Anderlecht)
Mijat Gacinovic (Eintracht Frankfurt)
Nemjana Matic (Manchester United)
Nemanja Gudelj (Tianjin Teda)
Nemanja Maksimović (FC Valencia)
Sergej Milinkovic-Savic (Lazio Rom)
Adem Ljajic (FC Torino)
Mijat Gacinovic (Eintracht Frankfurt)

Dušan Tadić (FC Southampton)
Aleksandar Mitrović (Newcastle United)
Aleksandar Prijović (PAOK Thessaloniki)
Andrija Pavlović (FC Kopenhagen)
Filip Kostic (Hamburger SV)
Adem Ljajic
Mijat Gacinovic
