Tae-Yong Shin
77.25
61

Kim Seung-gyu (Vissel Kobe)
Kim Jin-hyeon (Cerezo Osaka)
Hyun-Woo Cho (Daegu FC)

Young-Gwon Kim (Guangzhou Evergrande)
Hyun-Soo Jang (FC Tokio)
Seung-Hyun Jung (Sagan Tosu)
Yong-Sun Yun (Seongnam FC)
Kyung-Won Kwon (Tianjin Quanjian)
Ban-Suk Oh (Jeju United)
Jin-Su Kim (Jeonbuk Hyundai Motors)
Min-Woo Kim (Sangju Sangmu)
Park Joo-ho (Ulsan Hyundai)
Hong Chul (Sangju Sangmu)
Yo-Han Go (FC Seoul)
Lee Yong (Jeonbuk Hyundai Motors)

Sung-Yong Ki (Swansea City)
Woo-Young Jung (Vissel Kobe)
Kwon Chang-hoon (verletzt / FCO Dijon)
Se-jong Ju (Asan Mugunghwa FC)
Ja-Cheol Koo (FC Augsburg)
Lee Jae-sung (Jeonbuk Hyundai Motors)
Seung-Woo Lee (Hellas Verona)
Seon-Min Moon (Incheon United)
Lee Chung-yong (Crystal Palace)

Shin-Wook Kim (Jeonbuk Hyundai Motors)
Heung-Min Son (Tottenham Hotspur)
Hee-Chan Hwang (Red Bull Salzburg)
Keun-Ho Lee (Gangwon FC)
