Vladimir Petkovic
263.00
6

Yann Sommer (Borussia Mönchengladbach)
Roman Bürki (Borussia Dortmund)
Yvon Mvogo (RB Leipzig)

Ricardo Rodriguez (AC Milan)
Stephan Lichtsteiner (Juventus)
François Moubandje (FC Toulouse)
Nico Elvedi (Borussia Mönchengladbach)
Johan Djourou (Antalyaspor)
Fabian Schär (Deportivo La Coruña)
Manuel Akanji (Borussia Dortmund)
Leo Lacroix (FC Basel)

Granit Xhaka (Arsenal)
Valon Behrami (Udinese Calcio)
Remo Freuler (Atalanta Bergamo)
Denis Zakaria (Borussia Mönchengladbach)
Blerim Dzemaili (FC Bologna)
Fabian Frei (FC Basel)
Steven Zuber (Hoffenheim)
Admir Mehmedi (Wolfsburg)
Xherdan Shaqiri (Stoke City)

Breel Embolo (Schalke 04)
Haris Seferovic (Benfica Lissabon)
Josip Drmic (Borussia Mönchengladbach)
Eren Derdiyok (Galatasary Istanbul)
