egypt - Ägypten
argentinia - Argentinien
australia - Australien
belgium - Belgien
brasil - Brasilien
costa-rica - Costa Rica
denmark - Dänemark
germany - Deutschland
england - England
france - Frankreich
iran - Iran
iceland - Island
japan - Japan
columbia - Kolumbien
coratia - Koratien
marocco - Marokko
mexico - Mexiko
nigeria - Nigeria
panama - Panama
peru - Peru
poland - Polen
portugal - Portugal
russia - Russland
saudi-arabia - Saudi-Arabien
sweden - Schweden
switzerland - Schweiz
senegal - Senegal
serbia - Serbien
spain - Spanien
south-korea - Süd-Korea
tunesia - Tunesien
uruguay - Uruguay
