Age Hareide
289.85
12

Kasper Schmeichel (Leicester City)
Jonas Lössl (Huddersfield)
Frederik Rønnow (Böndby IF)
Jesper Hansen (FC Midtjylland)

Simon Kjaer (FC Sevilla)
Andreas Christensen (FC Chelsea)
Mathias Jorgensen (Huddersfield)
Jannik Vestergaard (Borussia Mönchengladbach)
Andreas Bjelland (Brentford)
Henrik Dalsgaard (Brentford)
Peter Ankersen (FC Kopenhagen)
Jens Stryger Larsen (Udinese)
Riza Durmisi (Betis Sevilla)
Jonas Knudsen (Ipswich Town)
Nicolai Boilesen (FC Kopenhagen)

William Kvist (FC Kopenhagen)
Thomas Delaney (Werder Bremen)
Lukas Lerager (Bordeaux)
Lasse Schöne (Ajax Amsterdam)
Mike Jensen (Rosenborg)
Christian Eriksen (Tottenham)
Daniel Wass (Celta Vigo)
Pierre-Emile Hojbjerg (FC Southampton)
Mathias Jensen (FC Nordsjaelland)
Michael Krohn-Dehli (Deportivo La Coruña)
Robert Skov (FC Kopenhagen)

Pione Sisto (Celta Vigo)
Martin Braithwaite (Bordeaux)
Andreas Cornelius (Atalanta)
Viktor Fischer (FC Kopenhagen)
Yussuf Poulsen (RB Leipzig)
Nicolai Jörgensen (Feyenoord)
Nicklas Bendtner (Rosenborg)
Kasper Dolberg (Ajax)
Kenneth Zohore (Cardiff City)
