Juan Antonio Pizzi
22.98
67

Yasser Al Mosailem (Al-Ahli Dschidda)
Mohammed Al-Owais (Al Ahli Dschidda)
Waleed Abdullah (Al-Nasr Riad)

Mansour Al-Harbi (Al-Ahli Dschidda)
Hassan Kadesh (Al-Hilal Riad)
Hassan Muath (Al-Feiha FC)
Saeed Al-Mowalad (Al-Ahli Dschidda)
Mohammed Al-Burayk (Al-Hilal Riad)
Omar Hawsawi (Al-Nasr Riad)
Osama Hawsawi (Al-Hilal Riad)
Motaz Hawsawi (Al-Ahli Dschidda)

Taisir Al-Jassim (Al-Ahli Dschidda)
Salman Al-Faraj (Al-Hilal Riad)
Abdulmalek Al-Khaibri (Al-Hilal Riad)
Mukhtar Ali (Vitesse Arnheim)
Hussein Al Moghawi (Al-Ahli Dschidda)
Abdulmajeed Al-Ruwaili (Al-Feiha FC)

Asiens Mohammed Al-Sahlawi (Al-Nasr Riad)
