Shin Tae-Yong
77.25
61

Kim Seung-gyu (Vissel Kobe)
Kim Jin-hyeon (Cerezo Osaka)
Cho Hyun-Woo (Daegu FC)

Kim Young-Gwon (Guangzhou Evergrande)
Jang Hyun-Soo (FC Turin)
Jung Seung-hyun (Sagan Tosu)
Yun Young-sun (Seongnam FC)
Kwon Kyung-Won (Tianjin Quanjian)
Oh Ban-Suk (Jeju United)
Kim Jin-Su (Jeonbuk Hyundai Motors)
Kim Min-Woo (Sangju Sangmu)
Park Joo-ho (Ulsan Hyundai)
Hong Chul (Sangju Sangmu)
Go Yo-Han (FC Seoul)
Lee Yong (Jeonbuk Hyundai Motors)

Sung-Yong Ki (Swansea City)
Jung Woo-Young (Vissel Kobe)
Kwon Chang-hoon (verletzt / FCO Dijon)
Ju Se-jong (Asan Mugunghwa FC)
Koo Ja-Cheol (FC Augsburg)
Lee Jae-sung (Jeonbuk Hyundai Motors)
Lee Seung-Woo (Hellas Verona)
Moon Seon-Min (Incheon United)
Lee Chung-Yong (Crystal Palace)

Kim Shin-Wook (Jeonbuk Hyundai Motors)
Son Heung-Min (Tottenham Hotspur)
Hwang Hee-Chan (Red Bull Salzburg)
Lee Keun-Ho (Gangwon FC)
