GameID,League,Season,Date,HomeTeam,AwayTeam,Result
2313768,AfrikaCup,2015,17.01.2015,Äquatorialguinea,Kongo,1:1
2313769,AfrikaCup,2015,17.01.2015,Burkina Faso,Gabun,0:2
2313773,AfrikaCup,2015,21.01.2015,Äquatorialguinea,Burkina Faso,0:0
2313772,AfrikaCup,2015,21.01.2015,Gabun,Kongo,0:1
2313770,AfrikaCup,2015,25.01.2015,Gabun,Äquatorialguinea,0:2
2313771,AfrikaCup,2015,25.01.2015,Kongo,Burkina Faso,2:1
2313774,AfrikaCup,2015,18.01.2015,Sambia,DR Kongo,1:1
2313775,AfrikaCup,2015,18.01.2015,Tunesien,Kapverdische Inseln,1:1
2313779,AfrikaCup,2015,22.01.2015,Sambia,Tunesien,1:2
2313778,AfrikaCup,2015,22.01.2015,Kapverdische Inseln,DR Kongo,0:0
2313776,AfrikaCup,2015,26.01.2015,Kapverdische Inseln,Sambia,0:0
2313777,AfrikaCup,2015,26.01.2015,DR Kongo,Tunesien,1:1
2313780,AfrikaCup,2015,19.01.2015,Ghana,Sénégal,1:2
2313781,AfrikaCup,2015,19.01.2015,Algerien,Südafrika,3:1
2313785,AfrikaCup,2015,23.01.2015,Ghana,Algerien,1:0
2313784,AfrikaCup,2015,23.01.2015,Südafrika,Sénégal,1:1
2313782,AfrikaCup,2015,27.01.2015,Südafrika,Ghana,1:2
2313783,AfrikaCup,2015,27.01.2015,Sénégal,Algerien,0:2
2313786,AfrikaCup,2015,20.01.2015,Elfenbeinküste,Guinea,1:1
2313787,AfrikaCup,2015,20.01.2015,Mali,Kamerun,1:1
2313791,AfrikaCup,2015,24.01.2015,Elfenbeinküste,Mali,1:1
2313790,AfrikaCup,2015,24.01.2015,Kamerun,Guinea,1:1
2313788,AfrikaCup,2015,28.01.2015,Kamerun,Elfenbeinküste,0:1
2313789,AfrikaCup,2015,28.01.2015,Guinea,Mali,1:1
2313795,AfrikaCup,2015,31.01.2015,Kongo,DR Kongo,2:4
2313794,AfrikaCup,2015,31.01.2015,Tunesien,Äquatorialguinea,1:2
2313797,AfrikaCup,2015,01.02.2015,Ghana,Guinea,3:0
2313796,AfrikaCup,2015,01.02.2015,Elfenbeinküste,Algerien,3:1
2313799,AfrikaCup,2015,04.02.2015,DR Kongo,Elfenbeinküste,1:3
2313798,AfrikaCup,2015,05.02.2015,Ghana,Äquatorialguinea,3:0
2313793,AfrikaCup,2015,07.02.2015,DR Kongo,Äquatorialguinea,4:2
2313792,AfrikaCup,2015,08.02.2015,Elfenbeinküste,Ghana,9:8
