GameID,Player1Home,Player2Home,Player3Home,Player4Home,Player5Home,Player6Home,Player7Home,Player8Home,Player9Home,Player10Home,Player11Home,Player1Away,Player2Away,Player3Away,Player4Away,Player5Away,Player6Away,Player7Away,Player8Away,Player9Away,Player10Away,Player11Away,Bench1Home,Bench2Home,Bench3Home,Bench4Home,Bench5Home,Bench6Home,Bench7Home,Bench8Home,Bench9Home,Bench10Home,Bench11Home,Bench12Home,Bench1Away,Bench2Away,Bench3Away,Bench4Away,Bench5Away,Bench6Away,Bench7Away,Bench8Away,Bench9Away,Bench10Away,Bench11Away,Bench12Away
2313768,Felipe Ovono,Rui,Diosdado Mbele,Sipo,Emilio NSue,Iván Zarandona,Pablo Ganet,Randy,Balboa,Kike Seno,Ibán Salvador,Christoffer Mafoumbi,Francis NGanga,Boris Moubhio,Arnold Bouka Moutou,Prince Oniangué,Marvin Baudry,Delvin NDinga,Césaire Gandzé,Babélé Sagesse,Férébory Doré,Thievy Bifouma,Aitor Embela,Rubén Belima,Charly,Doualla,Dani Evuy,Igor Engonga,Juvenal,Miguel Ángel,Carlos Mosibe,Raúl Fabiani,Rubén Darío,Ivan Bolado,Hardy Binguila,Dimitri Bissiki,Ladislas Douniama,Silvère Ganvoula,Francis Litsingi,Chris Malonga,Dominique Malonga,Chancel Massa,Atoni Mavoungou,Igor NGanga,Fabrice NGuessi,Pavelh Ndzila
2313769,Germain Sanou,Steeve Yago,Bakary Koné,Narcisse Bambara,Mohamed Koffi,Djakaridja Koné,Alain Traoré,Jonathan Pitroipa,Charles Kaboré,Bertrand Traoré,Jonathan Zongo,Didier Ovono,Yrondu Musavu-King,Bruno Écuélé,Johann Obiang,Lloyd Palun,Frédéric Bulot,Levy Madinda,André Biyogo Poko,Malick Evouna,Pierre-Emerick Aubameyang,Didier Ndong,Wilfried Balima,Aristide Bancé,Moussa Fofana,Issa Gouo,Adama Guira,Keba Koulibaly,Préjuce Nakoulma,Issiaka Ouédraogo,Abdoulaye Soulama,Abdou Traoré,Moussa Yedan,None,Aaron Appindangoyé,Yves Bitséki,Guélor Kanga,Johan Lengoualama,Samson Mbingui,Anthony M’Fa,Alexander NDoumbou,Henri Ndong,Junior Otoo,Romaric Rogombé,Bonaventure Sokambi,Benjamin Zé Ondo
2313773,Felipe Ovono,Rui,Diosdado Mbele,Sipo,Emilio NSue,Doualla,Iván Zarandona,Randy,Balboa,Kike Seno,Ibán Salvador,Germain Sanou,Steeve Yago,Bakary Koné,Issa Gouo,Mohamed Koffi,Djakaridja Koné,Alain Traoré,Jonathan Pitroipa,Charles Kaboré,Bertrand Traoré,Aristide Bancé,Aitor Embela,Rubén Belima,Dani Evuy,Pablo Ganet,Igor Engonga,Ivan Bolado,Juvenal,Miguel Ángel,Raúl Fabiani,Rubén Darío,Charly,Carlos Mosibe,Wilfried Balima,Narcisse Bambara,Adama Guira,Keba Koulibaly,Préjuce Nakoulma,Issiaka Ouédraogo,Florent Rouamba,Abdoulaye Soulama,Abdou Traoré,Moussa Yedan,Jonathan Zongo,Moussa Fofana
2313772,Didier Ovono,Aaron Appindangoyé,Bruno Écuélé,Johann Obiang,Lloyd Palun,Frédéric Bulot,Levy Madinda,André Biyogo Poko,Malick Evouna,Pierre-Emerick Aubameyang,Didier Ndong,Christoffer Mafoumbi,Boris Moubhio,Arnold Bouka Moutou,Dimitri Bissiki,Prince Oniangué,Marvin Baudry,Delvin NDinga,Césaire Gandzé,Babélé Sagesse,Férébory Doré,Thievy Bifouma,Yves Bitséki,Guélor Kanga,Johan Lengoualama,Samson Mbingui,Anthony M’Fa,Alexander NDoumbou,Henri Ndong,Junior Otoo,Romaric Rogombé,Bonaventure Sokambi,Benjamin Zé Ondo,None,Hardy Binguila,Ladislas Douniama,Silvère Ganvoula,Francis Litsingi,Chris Malonga,Dominique Malonga,Chancel Massa,Atoni Mavoungou,Francis NGanga,Igor NGanga,Fabrice NGuessi,Pavelh Ndzila
2313770,Didier Ovono,Aaron Appindangoyé,Bruno Écuélé,Johann Obiang,Lloyd Palun,Frédéric Bulot,Levy Madinda,Guélor Kanga,André Biyogo Poko,Malick Evouna,Pierre-Emerick Aubameyang,Felipe Ovono,Dani Evuy,Rui,Sipo,Emilio NSue,Doualla,Iván Zarandona,Randy,Raúl Fabiani,Balboa,Kike Seno,Yves Bitséki,Johan Lengoualama,Anthony M’Fa,Yrondu Musavu-King,Alexander NDoumbou,Henri Ndong,Didier Ndong,Junior Otoo,Romaric Rogombé,Bonaventure Sokambi,Benjamin Zé Ondo,None,Aitor Embela,Rubén Belima,Charly,Pablo Ganet,Ibán Salvador,Igor Engonga,Ivan Bolado,Juvenal,Carlos Mosibe,Rubén Darío,None,None
2313771,Christoffer Mafoumbi,Francis NGanga,Arnold Bouka Moutou,Dimitri Bissiki,Prince Oniangué,Marvin Baudry,Delvin NDinga,Babélé Sagesse,Férébory Doré,Francis Litsingi,Thievy Bifouma,Germain Sanou,Steeve Yago,Bakary Koné,Issa Gouo,Mohamed Koffi,Djakaridja Koné,Alain Traoré,Jonathan Pitroipa,Charles Kaboré,Abdou Traoré,Préjuce Nakoulma,Hardy Binguila,Ladislas Douniama,Césaire Gandzé,Silvère Ganvoula,Chris Malonga,Dominique Malonga,Chancel Massa,Atoni Mavoungou,Boris Moubhio,Igor NGanga,Fabrice NGuessi,Pavelh Ndzila,Wilfried Balima,Narcisse Bambara,Aristide Bancé,Moussa Fofana,Adama Guira,Keba Koulibaly,Issiaka Ouédraogo,Florent Rouamba,Abdoulaye Soulama,Bertrand Traoré,Moussa Yedan,Jonathan Zongo
2313774,Kennedy Mweene,Davies Nkausu,Stoppila Sunzu,Emmanuel Mbola,Nathan Sinkala,Chisamba Lungu,Kondwani Mtonga,Rainford Kalaba,Ronald Kampamba,Given Singuluma,Emmanuel Mayuka,Muteba Kidiaba,Issama Mpeko,Kilitsho Kasusula,Joël Kimwaki,Cédric Mongongu,Chancel Mbemba,Youssuf Mulumbu,Hervé Kage,Yannick Bolasie,Dieumerci Mbokani,Ndombe Mubele,Rodrick Kabwe,Evans Kangwa,Mukuka Mulenga,Christopher Munthali,Danny Munyao,Bruce Musakanya,Lubambo Musonda,Jackson Mwanza,Patrick Ngoma,Spencer Sautu,Joshua Titima,None,Jeremy Bokila,Junior Kabananga,Neeskens Kebano,Nicaise Kudimbana,Bawaka Mabele,Lema Mabidi,Cedrick Mabwati,Cédric Makiadi,Parfait Mandanda,Nelson Munganga,Christopher Oualembo,Gabriel Zakuani
2313775,Aymen Mathlouthi,Syam Ben Youssef,Aymen Abdennour,Ali Maâloul,Hamza Mathlouthi,Stéphane Nater,Mohamed Ali Moncer,Wahbi Khazri,Jamel Saihi,Yacine Chikhaoui,Ahmed Akaïchi,Vózinha,Stopira,Fernando Varela,Gegé,Carlitos,Babanco,Kuca,Héldon,Nuno Rocha,Calú,Djaniny,Rami Bedoui,Moez Ben Chérifia,Selim Ben Djemia,Farouk Ben Mustapha,Amine Chermiti,Bilel Mohsni,Youssef Msakni,Houcine Ragued,Ferjani Sassi,Mohamed Ali Yaâkoubi,Hamza Younès,Adam Rejaibi,Jeffry Fortes,Ivan Somada,Júlio Tavares,Kay,Kevin Sousa,Nivaldo,Odaïr Fortes,Platini,Garry Rodrigues,Ryan Mendes,Semedo,Toni Varela
2313779,Kennedy Mweene,Christopher Munthali,Davies Nkausu,Stoppila Sunzu,Emmanuel Mbola,Lubambo Musonda,Kondwani Mtonga,Rainford Kalaba,Evans Kangwa,Given Singuluma,Emmanuel Mayuka,Aymen Mathlouthi,Syam Ben Youssef,Aymen Abdennour,Rami Bedoui,Ali Maâloul,Houcine Ragued,Youssef Msakni,Wahbi Khazri,Jamel Saihi,Yacine Chikhaoui,Ahmed Akaïchi,Rodrick Kabwe,Ronald Kampamba,Chisamba Lungu,Donashano Malama,Mukuka Mulenga,Danny Munyao,Bruce Musakanya,Jackson Mwanza,Patrick Ngoma,Spencer Sautu,Joshua Titima,None,Moez Ben Chérifia,Selim Ben Djemia,Farouk Ben Mustapha,Amine Chermiti,Hamza Mathlouthi,Bilel Mohsni,Mohamed Ali Moncer,Stéphane Nater,Adam Rejaibi,Ferjani Sassi,Mohamed Ali Yaâkoubi,Hamza Younès
2313778,Vózinha,Stopira,Fernando Varela,Gegé,Carlitos,Babanco,Kuca,Nuno Rocha,Calú,Júlio Tavares,Ryan Mendes,Muteba Kidiaba,Issama Mpeko,Kilitsho Kasusula,Joël Kimwaki,Cédric Mongongu,Chancel Mbemba,Youssuf Mulumbu,Yannick Bolasie,Lema Mabidi,Dieumerci Mbokani,Cedrick Mabwati,Jeffry Fortes,Odaïr Fortes,Héldon,Kay,Platini,Garry Rodrigues,Ivan Somada,Semedo,Toni Varela,Kevin Sousa,None,None,Jeremy Bokila,Junior Kabananga,Hervé Kage,Neeskens Kebano,Nicaise Kudimbana,Bawaka Mabele,Cédric Makiadi,Parfait Mandanda,Ndombe Mubele,Nelson Munganga,Christopher Oualembo,Gabriel Zakuani
