GameID,Minute,Scorer,Team
2313768,16,Emilio NSue,Äquatorialguinea
2313768,87,Thievy Bifouma,Kongo
2313769,19,Pierre-Emerick Aubameyang,Gabun
2313769,72,Malick Evouna,Gabun
2313772,48,Prince Oniangué,Kongo
2313770,55,Balboa,Äquatorialguinea
2313770,86,Ibán Salvador,Äquatorialguinea
2313771,51,Thievy Bifouma,Kongo
2313771,88,Fabrice NGuessi,Kongo
2313771,86,Aristide Bancé,Burkina Faso
2313774,2,Given Singuluma,Sambia
2313774,66,Yannick Bolasie,DR Kongo
2313775,70,Mohamed Ali Moncer,Tunesien
2313775,78,Héldon,Kapverdische Inseln
2313779,59,Emmanuel Mayuka,Sambia
2313779,69,Ahmed Akaïchi,Tunesien
2313779,88,Yacine Chikhaoui,Tunesien
2313777,66,Jeremy Bokila,DR Kongo
2313777,31,Ahmed Akaïchi,Tunesien
2313780,14,André Ayew,Ghana
2313780,58,Mame Diouf,Sénégal
2313780,90,Moussa Sow,Sénégal
2313781,73,Faouzi Ghoulam,Algerien
2313781,84,Islam Slimani,Algerien
2313781,51,Thuso Phala,Südafrika
2313781,68,Thulani Hlatshwayo,Südafrika
2313785,90,Asamoah Gyan,Ghana
2313784,47,Oupa Manyisa,Südafrika
2313784,60,Serigne Mbodj,Sénégal
2313782,17,Mandla Masango,Südafrika
2313782,73,John Boye,Ghana
2313782,83,André Ayew,Ghana
2313783,11,Riyad Mahrez,Algerien
2313783,82,Nabil Bentaleb,Algerien
2313786,72,Seydou Doumbia,Elfenbeinküste
2313786,36,Mohamed Yattara,Guinea
2313787,71,Sambou Yatabaré,Mali
2313787,84,Ambroise Oyongo,Kamerun
2313791,86,Max Gradel,Elfenbeinküste
2313791,6,Bakary Sako,Mali
2313790,13,Benjamin Moukandjo,Kamerun
2313790,42,Ibrahima Traoré,Guinea
2313788,36,Max Gradel,Elfenbeinküste
2313789,14,Kévin Constant,Guinea
2313789,47,Modibo Maïga,Mali
2313795,55,Férébory Doré,Kongo
2313795,62,Thievy Bifouma,Kongo
2313795,65,Dieumerci Mbokani,DR Kongo
2313795,75,Jeremy Bokila,DR Kongo
2313795,81,Joël Kimwaki,DR Kongo
2313795,90,Dieumerci Mbokani,DR Kongo
2313794,70,Ahmed Akaïchi,Tunesien
2313794,90,Balboa,Äquatorialguinea
2313794,102,Balboa,Äquatorialguinea
2313797,4,Christian Atsu,Ghana
2313797,44,Kwesi Appiah,Ghana
2313797,61,Christian Atsu,Ghana
2313796,26,Wilfried Bony,Elfenbeinküste
2313796,68,Wilfried Bony,Elfenbeinküste
2313796,90,Gervinho,Elfenbeinküste
2313796,51,El Arbi Soudani,Algerien
2313799,24,Dieumerci Mbokani,DR Kongo
2313799,20,Yaya Touré,Elfenbeinküste
2313799,41,Gervinho,Elfenbeinküste
2313799,68,Wilfried Kanon,Elfenbeinküste
2313798,42,Jordan Ayew,Ghana
2313798,45,Mubarak Wakaso,Ghana
2313798,75,André Ayew,Ghana
