GameID,Minute,Player,Team,Card
8341365,66,Johann Obiang,Gabun,yellow
8341365,76,Agostinho,Guinea-Bissau,yellow
8341366,86,Banou Diawara,Burkina Faso,yellow
8341366,15,Ernest Mabouka,Kamerun,yellow
8341366,56,Benjamin Moukandjo,Kamerun,yellow
8341366,63,Georges Mandjeck,Kamerun,yellow
8341366,89,Michael Ngadeu-Ngadjui,Kamerun,yellow
8341367,37,Kouakou Koffi,Burkina Faso,yellow
8341368,22,Georges Mandjeck,Kamerun,yellow
8341368,30,Juary Soares,Guinea-Bissau,yellow
8341369,18,Sébastien Siani,Kamerun,yellow
8341370,80,Juary Soares,Guinea-Bissau,yellow
8341370,7,Abdou Traoré,Burkina Faso,yellow
8341370,45,Charles Kaboré,Burkina Faso,yellow
8341371,28,Mokhtar Belkhiter,Algerien,yellow
8341371,38,Matthew Rusike,Simbabwe,yellow
8341372,9,Aymen Abdennour,Tunesien,yellow
8341372,36,Cheikh MBengue,Sénégal,yellow
8341372,41,Kalidou Koulibaly,Sénégal,yellow
8341373,14,Adlène Guédioura,Algerien,yellow
8341373,31,Rabie Meftah,Algerien,yellow
8341373,65,Faouzi Ghoulam,Algerien,yellow
8341373,45,Ali Maâloul,Tunesien,yellow
8341374,31,Cheikhou Kouyaté,Sénégal,yellow
8341374,57,Lamine Gassama,Sénégal,yellow
8341374,89,Cuthbert Malajila,Simbabwe,yellow
8341375,74,Famara Diédhiou,Sénégal,yellow
8341375,39,Faouzi Ghoulam,Algerien,yellow
8341375,39,Nabil Bentaleb,Algerien,yellow
8341375,58,Liassine Cadamuro,Algerien,yellow
8341376,9,Danny Phiri,Simbabwe,yellow
8341376,44,Costa Nhamoinesu,Simbabwe,yellow
8341376,33,Mohamed Ben Amor,Tunesien,yellow
8341376,85,Hamdi Nagguez,Tunesien,yellow
8341378,48,Fabrice NSakala,DR Kongo,yellow
8341378,81,Joyce Lomalisa,DR Kongo,yellow-red
8341378,68,Manuel Da Costa,Marokko,yellow
8341379,65,Franck Kessié,Elfenbeinküste,yellow
8341380,57,Mbark Boussoufa,Marokko,yellow
8341380,84,Floyd Ayité,Togo,yellow
8341381,30,Medhi Benatia,Marokko,yellow
8341381,82,Karim El Ahmadi,Marokko,yellow
8341381,87,Munir Mohamedi,Marokko,yellow
8341381,58,Eric Bailly,Elfenbeinküste,yellow
8341381,70,Wilfried Zaha,Elfenbeinküste,yellow
8341382,90,Ley Matampi,DR Kongo,yellow
8341383,31,Isaac Isinde,Uganda,yellow
8341384,88,Samba Sow,Mali,yellow
8341384,67,Mohamed Salah,Ägypten,yellow
8341384,90,Ahmed Fathy,Ägypten,yellow
8341385,82,Asamoah Gyan,Ghana,yellow
8341386,24,Tarek Hamed,Ägypten,yellow
8341387,56,Marwan Mohsen,Ägypten,yellow
8341387,74,Trezeguet,Ägypten,yellow
8341387,77,Bernard Tekpetey,Ghana,yellow
8341387,80,John Boye,Ghana,yellow
8341388,43,Murshid Jjuko,Uganda,yellow
8341388,78,Robert Odongkara,Uganda,yellow
8343525,19,Charles Kaboré,Burkina Faso,yellow
8343525,67,Yacouba Coulibaly,Burkina Faso,yellow
8343525,83,Blati Touré,Burkina Faso,yellow
8343525,86,Préjuce Nakoulma,Burkina Faso,yellow
8343525,22,Aymen Abdennour,Tunesien,yellow
8343525,34,Mohamed Ali Yaâkoubi,Tunesien,yellow
8343525,38,Syam Ben Youssef,Tunesien,yellow
8343526,13,Mame Diouf,Sénégal,yellow
8343526,90,Cheikhou Kouyaté,Sénégal,yellow
8343526,25,Ambroise Oyongo,Kamerun,yellow
8343526,59,Collins Fai,Kamerun,yellow
8343526,82,Arnaud Djoum,Kamerun,yellow
8343527,16,Rémi Mulumba,DR Kongo,yellow
8343527,60,Joyce Lomalisa,DR Kongo,yellow
8343527,62,Marcel Tisserand,DR Kongo,yellow
8343527,58,Mubarak Wakaso,Ghana,yellow
8343527,74,Daniel Amartey,Ghana,yellow
8343528,9,Tarek Hamed,Ägypten,yellow
8343528,74,Kahraba,Ägypten,yellow
8343529,86,Bertrand Traoré,Burkina Faso,yellow
8343529,98,Steeve Yago,Burkina Faso,yellow
8343529,41,Ahmed Fathy,Ägypten,yellow
8343529,54,Kahraba,Ägypten,yellow
8343530,82,Benjamin Moukandjo,Kamerun,yellow
8343532,90,Ramadan Sobhi,Ägypten,yellow
8343532,89,Vincent Aboubakar,Kamerun,yellow
8343532,90,Collins Fai,Kamerun,yellow
8343532,90,Christian Bassogog,Kamerun,yellow
