GameID,Minute,PlayerIn,PlayerOut,Team
8341365,74,Guélor Kanga,Mario Lemina,Gabun
8341365,84,André Biyogo Poko,Merlin Tandjigora,Gabun
8341365,89,Serge Angoué,Malick Evouna,Gabun
8341365,61,Piqueti,João Mário,Guinea-Bissau
8341365,66,Frédéric Mendy,Abel Camará,Guinea-Bissau
8341365,74,Aldair,Francisco Santos,Guinea-Bissau
8341366,61,Banou Diawara,Bertrand Traoré,Burkina Faso
8341366,74,Jonathan Zongo,Abdou Traoré,Burkina Faso
8341366,86,Aristide Bancé,Jonathan Pitroipa,Burkina Faso
8341366,77,Edgar Salli,Clinton NJie,Kamerun
8341366,84,Karl Toko Ekambi,Christian Bassogog,Kamerun
8341367,34,Benjamin Zé Ondo,Johann Obiang,Gabun
8341367,66,Serge-Junior Martinsson Ngouali,Merlin Tandjigora,Gabun
8341367,75,Serge Angoué,André Biyogo Poko,Gabun
8341367,11,Préjuce Nakoulma,Jonathan Pitroipa,Burkina Faso
8341367,54,Bertrand Traoré,Jonathan Zongo,Burkina Faso
8341367,77,Bakary Saré,Alain Traoré,Burkina Faso
8341368,46,Karl Toko Ekambi,Clinton NJie,Kamerun
8341368,65,Nicolas NKoulou,Georges Mandjeck,Kamerun
8341368,65,Robert Tambe,Vincent Aboubakar,Kamerun
8341368,50,Idrissa Camará,Piqueti,Guinea-Bissau
8341368,66,Sami,Toni Silva,Guinea-Bissau
8341368,81,Abel Camará,Frédéric Mendy,Guinea-Bissau
8341369,76,Jacques Zoua,Edgar Salli,Kamerun
8341369,83,Vincent Aboubakar,Christian Bassogog,Kamerun
8341369,83,Karl Toko Ekambi,Robert Tambe,Kamerun
8341369,57,Yohann Wachter,Benjamin Zé Ondo,Gabun
8341369,73,Serge Angoué,Lloyd Palun,Gabun
8341369,78,Samson Mbingui,Malick Evouna,Gabun
8341370,63,Saná,Nani,Guinea-Bissau
8341370,65,Idrissa Camará,Piqueti,Guinea-Bissau
8341370,76,Aldair,Francisco Santos,Guinea-Bissau
8341370,59,Cyrille Bayala,Aristide Bancé,Burkina Faso
8341370,67,Blati Touré,Alain Traoré,Burkina Faso
8341370,78,Bakary Saré,Bertrand Traoré,Burkina Faso
8341371,46,Rabie Meftah,Mokhtar Belkhiter,Algerien
8341371,78,Rachid Ghezzal,El Arbi Soudani,Algerien
8341371,12,Matthew Rusike,Knowledge Musona,Simbabwe
8341371,78,Cuthbert Malajila,Nyasha Mushekwi,Simbabwe
8341372,46,Wahbi Khazri,Larry Azouni,Tunesien
8341372,64,Taha Yassine Khenissi,Ahmed Akaïchi,Tunesien
8341372,62,Ismaïla Sarr,Keita Baldé,Sénégal
8341372,72,Henri Saivet,Papa NDiaye,Sénégal
8341372,88,Pape Diop,Cheikhou Kouyaté,Sénégal
8341373,69,Baghdad Bounedjah,Rachid Ghezzal,Algerien
8341373,74,Sofiane Hanni,Yacine Brahimi,Algerien
8341373,90,Mehdi Abeid,Adlène Guédioura,Algerien
8341373,73,Mohamed Ali Yaâkoubi,Wahbi Khazri,Tunesien
8341373,78,Taha Yassine Khenissi,Ahmed Akaïchi,Tunesien
8341373,88,Rami Jeridi,Aymen Mathlouthi,Tunesien
8341374,63,Moussa Sow,Mame Diouf,Sénégal
8341374,85,Cheikh NDoye,Cheikhou Kouyaté,Sénégal
8341374,90,Ismaïla Sarr,Sadio Mané,Sénégal
8341374,46,Evans Rusike,Matthew Rusike,Simbabwe
8341374,46,Tendai Ndoro,Kudakwashe Mahachi,Simbabwe
8341374,83,Cuthbert Malajila,Nyasha Mushekwi,Simbabwe
8341375,70,Famara Diédhiou,Serigne Mbodj,Sénégal
8341375,79,Idrissa Gueye,Papa NDiaye,Sénégal
8341375,90,Keita Baldé,Moussa Konaté,Sénégal
8341375,80,Baghdad Bounedjah,Islam Slimani,Algerien
8341375,83,Rachid Ghezzal,Sofiane Hanni,Algerien
8341376,46,Tendai Ndoro,Danny Phiri,Simbabwe
8341376,89,Kudakwashe Mahachi,Knowledge Musona,Simbabwe
8341376,63,Hamza Lahmar,Wahbi Khazri,Tunesien
8341376,78,Saber Khalifa,Youssef Msakni,Tunesien
8341376,83,Larry Azouni,Naïm Sliti,Tunesien
8341377,66,Cheick Doukouré,Jean Michaël Seri,Elfenbeinküste
8341377,70,Wilfried Bony,Wilfried Zaha,Elfenbeinküste
8341377,83,Max Gradel,Jonathan Kodjia,Elfenbeinküste
8341377,83,Serge Akakpo,Kodjo Laba,Togo
8341377,88,Komlan Agbegniadan,Mathieu Dossevi,Togo
8341377,89,Razak Boukari,Emmanuel Adebayor,Togo
8341378,65,Joyce Lomalisa,Fabrice NSakala,DR Kongo
8341378,72,Jacques Maghoma,Junior Kabananga,DR Kongo
8341378,77,Dieumerci Mbokani,Cédric Bakambu,DR Kongo
8341378,61,Youssef En-Nesyri,Omar El Kaddouri,Marokko
8341378,73,Fayçal Fajr,Romain Saïss,Marokko
8341378,79,Youssef El-Arabi,Mehdi Carcela-González,Marokko
8341379,46,Simon Deli,Adama Traoré,Elfenbeinküste
8341379,77,Salomon Kalou,Max Gradel,Elfenbeinküste
8341379,72,Rémi Mulumba,Jacques Maghoma,DR Kongo
8341379,72,Youssuf Mulumbu,Jordan Ikoko,DR Kongo
8341379,79,Jonathan Bolingi,Junior Kabananga,DR Kongo
8341380,61,Youssef En-Nesyri,Omar El Kaddouri,Marokko
8341380,81,Youssef Aït Bennasser,Fayçal Fajr,Marokko
8341380,90,Rachid Alioui,Aziz Bouhaddouz,Marokko
8341380,73,Razak Boukari,Kodjo Laba,Togo
8341380,84,Prince Segbefia,Mathieu Dossevi,Togo
8341380,89,Komlan Agbegniadan,Lalawelé Atakora,Togo
8341381,42,Rachid Alioui,Aziz Bouhaddouz,Marokko
8341381,83,Mounir Obbadi,Fayçal Fajr,Marokko
8341381,90,Khalid Boutaïb,Rachid Alioui,Marokko
8341381,52,Jean Michaël Seri,Cheick Doukouré,Elfenbeinküste
8341381,75,Jonathan Kodjia,Wilfried Zaha,Elfenbeinküste
8341381,85,Max Gradel,Franck Kessié,Elfenbeinküste
8341382,24,Cedric Mensah,Baba Tchagouni,Togo
8341382,67,Kodjo Laba,Mathieu Dossevi,Togo
8341382,78,Alaixys Romao,Razak Boukari,Togo
8341382,60,Paul Mpoku,Neeskens Kebano,DR Kongo
8341382,68,Jordan Botaka,Ndombe Mubele,DR Kongo
8341382,83,Jeremy Bokila,Junior Kabananga,DR Kongo
8341383,39,Frank Acheampong,Abdul Rahman Baba,Ghana
8341383,73,Emmanuel Agyemang-Badu,Asamoah Gyan,Ghana
8341383,86,Afriyie Acquah,Jordan Ayew,Ghana
8341383,46,Moses Oloya,Micheal Azira,Uganda
8341383,57,Muhammad Shaban,Luwagga Kizito,Uganda
8341383,70,Geoffrey Sserunkuma,Isaac Isinde,Uganda
8341384,65,Yves Bissouma,Sambou Yatabaré,Mali
8341384,72,Samba Sow,Lassana Coulibaly,Mali
8341384,25,Essam El Hadary,Ahmed El Shenawy,Ägypten
8341384,70,Ramadan Sobhi,Mohamed Salah,Ägypten
8341384,76,Ahmed Hassan,Marwan Mohsen,Ägypten
8341385,82,Emmanuel Agyemang-Badu,Asamoah Gyan,Ghana
8341385,90,Afriyie Acquah,Jordan Ayew,Ghana
8341385,46,Yves Bissouma,Sambou Yatabaré,Mali
8341385,63,Moussa Doumbia,Mustapha Yatabaré,Mali
8341385,79,Kalifa Coulibaly,Moussa Marega,Mali
8341386,59,Abdulla El Said,Tarek Hamed,Ägypten
8341386,66,Amr Warda,Ramadan Sobhi,Ägypten
8341386,80,Kahraba,Trezeguet,Ägypten
8341386,66,Muhammad Shaban,Geoffrey Massa,Uganda
8341386,81,Nico Wadada,Farouk Miya,Uganda
8341386,90,Moses Oloya,Denis Iguma,Uganda
8341387,69,Kahraba,Marwan Mohsen,Ägypten
8341387,76,Amr Warda,Abdulla El Said,Ägypten
