GameID,Minute,Scorer,Team
1441046,9,Óscar Limia,Unión de Santa Fe
1441044,16,Sebastián Domínguez,Vélez Sarsfield
1441044,27,Sebastián Domínguez,Vélez Sarsfield
1441044,58,Lucas Pratto,Vélez Sarsfield
1441045,13,Fernando Ortiz,Racing Club
1441045,11,César Carignano,Atlético Rafaela
1441052,38,Iván Moreno y Fabianesi,Colón de Santa Fe
1441049,12,Martín Cauteruccio,Quilmes
1441049,60,Pablo Garnier,Quilmes
1441049,85,Martín Cauteruccio,Quilmes
1441047,14,David Ramírez,Godoy Cruz
1441047,17,Iván Borghello,All Boys
1441051,18,Leandro Romagnoli,San Lorenzo
1441051,45,Franco Jara,San Lorenzo
1441051,87,Sebastian Penco,San Martín de San Juan
1441050,75,Manuel Lanzini,River Plate
1441050,43,Lucas Melano,Belgrano de Córdoba
1441050,46,César Carranza,Belgrano de Córdoba
1441048,45,Emmanuel Pío,Tigre
1441048,3,Maximiliano Núñez,Estudiantes
1441048,88,Guido Carrillo,Estudiantes
1441057,75,Emmanuel Gigliotti,Colón de Santa Fe
1441056,11,Mauricio Sperdutti,Newells Old Boys
1441059,54,Rogelio Funes Mori,River Plate
1441059,67,Rogelio Funes Mori,River Plate
1441061,87,Ángel Vildozo,All Boys
1441061,23,Martín Cauteruccio,Quilmes
1441054,48,Fernando Ortiz,Racing Club
1441054,89,Ricardo Centurión,Racing Club
1441062,71,Nicolás Castro,Godoy Cruz
1441060,61,Cristian Chávez,Boca Juniors
1441060,69,Lucas Viatri,Boca Juniors
1441070,2,Guillermo Burdisso,Boca Juniors
1441070,44,Santiago Silva,Boca Juniors
1441070,47,Santiago Silva,Boca Juniors
1441070,15,Iván Borghello,All Boys
1441072,29,Facundo Curuchet,Colón de Santa Fe
1441072,8,Claudio Pérez,Belgrano de Córdoba
1441072,11,César Carranza,Belgrano de Córdoba
1441072,72,Sergio Rodríguez,Belgrano de Córdoba
1441071,79,Román Martínez,Estudiantes
1441065,30,José Sand,Racing Club
1441065,75,José Sand,Racing Club
1441067,4,Iván Óbolo,Godoy Cruz
1441067,45,Emanuel Insúa,Godoy Cruz
1441064,63,Mauricio Pereyra,Lanús
1441064,82,Víctor Ayala,Lanús
1441068,20,Lucas Orbán,Tigre
1441068,61,Diego Ftacla,Tigre
1441068,11,Daniel Villalba,River Plate
1441068,15,Carlos Sánchez,River Plate
1441068,46,Manuel Lanzini,River Plate
1441069,32,Pablo Lima,Quilmes
1441069,82,Joel Carli,Quilmes
1441069,35,Juan Avendaño,Unión de Santa Fe
1441066,12,Lisandro López,Arsenal de Sarandí
1441066,72,Hugo Nervo,Arsenal de Sarandí
1441066,74,Darío Benedetto,Arsenal de Sarandí
1441066,52,Diego Placente,Argentinos Juniors
1441073,14,Marcos Cáceres,Newells Old Boys
1441073,72,Ignacio Scocco,Newells Old Boys
1441081,10,Iván Borghello,All Boys
1441081,69,Mauro Matos,All Boys
1441081,55,Martín Galmarini,Tigre
1441081,90,Diego Ftacla,Tigre
1441082,59,Nicolás Correa,Unión de Santa Fe
1441082,18,Rolando Schiavi,Boca Juniors
1441082,87,Nicolás Blandi,Boca Juniors
1441074,33,Leonel Núñez,Argentinos Juniors
1441074,23,Iván Óbolo,Godoy Cruz
1441074,86,Diego Sevillano,Godoy Cruz
1441075,83,Eduardo Tuzzio,Independiente
1441075,90,Darío Benedetto,Arsenal de Sarandí
1441083,36,Iván Juárez,Atlético Rafaela
1441083,90,Facundo Diz,Quilmes
1441076,45,Gonzalo Castillejos,Lanús
1441076,67,Gabriel Hauche,Racing Club
1441077,35,Gino Peruzzi,Vélez Sarsfield
1441077,49,Francisco Cerro,Vélez Sarsfield
1441077,68,Federico Insúa,Vélez Sarsfield
1441079,80,Guido Carrillo,Estudiantes
1441079,31,Maximiliano Caire,Colón de Santa Fe
1441079,87,Iván Moreno y Fabianesi,Colón de Santa Fe
1441091,24,Martín Morel,All Boys
1441091,31,Juan Pablo Rodríguez,All Boys
1441091,51,Iván Borghello,All Boys
1441091,18,Matías Donnet,Unión de Santa Fe
1441093,90,Ignacio Scocco,Newells Old Boys
1441086,46,Juan Caffa,Arsenal de Sarandí
1441084,32,Fabián Cubero,Vélez Sarsfield
1441084,33,Martín Zapata,Belgrano de Córdoba
1441084,72,Sergio Rodríguez,Belgrano de Córdoba
1441088,18,Diego Castaño,Tigre
1441088,23,Luís Aguiar,San Lorenzo
1441090,25,Lucas Viatri,Boca Juniors
1441090,70,Lucas Viatri,Boca Juniors
1441090,65,Sebastián Carrera,Atlético Rafaela
1441087,45,David Ramírez,Godoy Cruz
1441087,90,David Ramírez,Godoy Cruz
1441087,36,Cristian Tula,Independiente
1441092,70,Rubén Ramírez,Colón de Santa Fe
1441092,89,Germán Pezzella,River Plate
1441089,73,Leandro Barrera,Argentinos Juniors
1441085,40,Luciano Vietto,Racing Club
