GameID,Minute,PlayerIn,PlayerOut,Team
1441046,78,Juan Caffa,Nicolás Aguirre,Arsenal de Sarandí
1441046,79,Darío Benedetto,Pablo Lugüercio,Arsenal de Sarandí
1441046,88,Gonzalo Espinoza,Jorge Ortiz,Arsenal de Sarandí
1441046,54,Diego Barisone,Juan Avendaño,Unión de Santa Fe
1441046,61,Juan Cavallaro,Fausto Montero,Unión de Santa Fe
1441046,78,Pablo Magnín,Brahian Alemán,Unión de Santa Fe
1441044,68,Iván Bella,Brian Ferreira,Vélez Sarsfield
1441044,73,Leandro Desábato,Francisco Cerro,Vélez Sarsfield
1441044,79,Ramiro Cáseres,Federico Insúa,Vélez Sarsfield
1441044,25,Ariel Garcé,Aníbal Matellán,Argentinos Juniors
1441044,54,Juan Ramírez,Gustavo Oberman,Argentinos Juniors
1441044,63,Marcos Figueroa,Pablo Hernández,Argentinos Juniors
1441045,68,Luciano Vietto,Gabriel Hauche,Racing Club
1441045,78,Luis Fariña,Esteban Saveljić,Racing Club
1441045,81,Javier Cámpora,Agustín Pelletieri,Racing Club
1441045,28,Alexis Niz,Lucas Bovaglio,Atlético Rafaela
1441045,78,Walter Serrano,Iván Juárez,Atlético Rafaela
1441045,83,Darío Gandín,César Carignano,Atlético Rafaela
1441052,79,Facundo Curuchet,Rubén Ramírez,Colón de Santa Fe
1441052,87,Gabriel Graciani,Iván Moreno y Fabianesi,Colón de Santa Fe
1441052,90,Lucas Alario,Emmanuel Gigliotti,Colón de Santa Fe
1441052,61,Silvio Romero,Diego González,Lanús
1441052,83,Bruno Vides,Rodrigo Erramuspe,Lanús
1441049,71,Jorge Serrano,Ismael Quílez,Quilmes
1441049,79,Leandro Díaz,Pablo Garnier,Quilmes
1441049,81,Jacobo Mansilla,Facundo Diz,Quilmes
1441049,59,Orlando Gaona,Pablo Ledesma,Boca Juniors
1441049,76,Cristian Álvarez,Cristian Chávez,Boca Juniors
1441049,88,Juan Sánchez Miño,Walter Erviti,Boca Juniors
1441053,78,Martín Tonso,Pablo Pérez,Newells Old Boys
1441053,78,Maximiliano Urruti,Mauricio Sperdutti,Newells Old Boys
1441053,82,Gabriel Hachen,Victor Figueroa,Newells Old Boys
1441053,46,Fabián Monserrat,Hernán Fredes,Independiente
1441053,70,Martín Benítez,Luciano Leguizamón,Independiente
1441053,82,Federico Mancuello,Paulo Rosales,Independiente
1441047,61,Jorge Curbelo,Emanuel Insúa,Godoy Cruz
1441047,72,Eduardo Ledesma,Gonzalo Castellani,Godoy Cruz
1441047,83,Juan Garro,David Ramírez,Godoy Cruz
1441047,69,Fernando Sánchez,Martín Morel,All Boys
1441047,73,Ángel Vildozo,Iván Borghello,All Boys
1441047,87,Elvio Fredrich,Juan Pablo Rodríguez,All Boys
1441051,75,Augusto Álvarez,Leandro Romagnoli,San Lorenzo
1441051,79,Julio Furch,Denis Stracqualursi,San Lorenzo
1441051,88,Fernando Meza,Franco Jara,San Lorenzo
1441051,59,Sebastian Penco,Leandro Velàzquez,San Martín de San Juan
1441051,72,Matías Rudler,Cristian Álvarez,San Martín de San Juan
1441051,76,Damian Canuto,Mauro Bogado,San Martín de San Juan
1441050,50,Martín Aguirre,Ezequiel Cirigliano,River Plate
1441050,50,Ariel Rojas,Luciano Vella,River Plate
1441050,15,César Carranza,Víctor Aquino,Belgrano de Córdoba
1441050,78,Lucas Pittinari,Martín Zapata,Belgrano de Córdoba
1441050,80,Juan Martín,Lucas Melano,Belgrano de Córdoba
1441048,16,Gastón Díaz,Ramiro Leone,Tigre
1441048,71,Javier Carrasco,Agustin Torassa,Tigre
1441048,83,Matías Escobar,Emmanuel Pío,Tigre
1441048,46,Jonathan Schunke,Agustín Alayes,Estudiantes
1441048,66,Leonardo Jara,Michael Hoyos,Estudiantes
1441048,79,Carlos Auzqui,Maximiliano Núñez,Estudiantes
1441057,10,Lucas Landa,Cristian Grabinski,San Martín de San Juan
1441057,56,Lucas Salas,Damian Canuto,San Martín de San Juan
1441057,67,Sebastian Penco,Leandro Velàzquez,San Martín de San Juan
1441057,84,Gabriel Graciani,Lucas Mugni,Colón de Santa Fe
1441057,88,Ricardo Gómez,Sebastián Prediger,Colón de Santa Fe
1441057,89,Marcelo Argüello,Facundo Curuchet,Colón de Santa Fe
1441056,46,Óscar Benítez,Guido Pizarro,Lanús
1441056,60,Leandro Díaz,Gonzalo Castillejos,Lanús
1441056,88,Mauricio Pereyra,Diego Valeri,Lanús
1441056,56,Diego Mateo,Raúl Villalba,Newells Old Boys
1441056,57,Martín Tonso,Maxi Rodriguez,Newells Old Boys
1441056,82,Maximiliano Urruti,Mauricio Sperdutti,Newells Old Boys
1441059,73,Carlos Auzqui,Leonardo Jara,Estudiantes
1441059,59,Martín Aguirre,Ezequiel Cirigliano,River Plate
1441059,63,Ariel Rojas,Manuel Lanzini,River Plate
1441059,87,Cristian Ledesma,Carlos Sánchez,River Plate
1441058,63,César Mansanelli,César Carranza,Belgrano de Córdoba
1441058,69,Juan Martín,Guillermo Farré,Belgrano de Córdoba
1441058,83,Tobias Figueroa,Lucas Melano,Belgrano de Córdoba
1441058,69,Walter Kannemann,Luís Aguiar,San Lorenzo
1441058,73,Leandro Romagnoli,Franco Jara,San Lorenzo
1441058,83,Julio Furch,Denis Stracqualursi,San Lorenzo
1441061,73,Elvio Fredrich,Hernán Grana,All Boys
1441061,73,Ángel Vildozo,Martín Morel,All Boys
1441061,90,Darío Stefanatto,Iván Borghello,All Boys
1441061,69,Leandro Díaz,Facundo Diz,Quilmes
1441061,90,Martín Giménez,Martín Cauteruccio,Quilmes
1441054,46,Marcos Figueroa,José Carlos Fernández,Argentinos Juniors
1441054,58,Juan Ramírez,Gustavo Oberman,Argentinos Juniors
1441054,74,Pablo Hernández,Diego Placente,Argentinos Juniors
1441054,75,Bruno Zuculini,Mauro Camoranesi,Racing Club
1441054,87,Martín Pérez Guedes,Gabriel Hauche,Racing Club
1441054,90,Javier Cámpora,Diego Villar,Racing Club
1441062,58,Alexis Fernández,Pablo Magnín,Unión de Santa Fe
1441062,72,Diego Galván,Mauro Maidana,Unión de Santa Fe
1441062,87,Federico Chiapello,Matías Donnet,Unión de Santa Fe
1441062,55,Federico Lértora,Emanuel Insúa,Godoy Cruz
1441062,66,Juan Garro,Gonzalo Castellani,Godoy Cruz
1441062,82,Jorge Curbelo,Facundo Castillón,Godoy Cruz
