GameID,Minute,Player,Team,Card
1772556,9,Leandro Grimi,Godoy Cruz,yellow
1772556,34,Gonzalo Castellani,Godoy Cruz,yellow
1772556,64,Leonardo Sigali,Godoy Cruz,yellow
1772556,77,Nicolás Castro,Godoy Cruz,yellow
1772556,6,Gaspar Iñíguez,Argentinos Juniors,yellow
1772556,49,Franco Flores,Argentinos Juniors,yellow
1772556,70,Sergio Vittor,Argentinos Juniors,yellow
1772556,84,Leandro Barrera,Argentinos Juniors,red
1772561,7,Damián Pérez,Arsenal de Sarandí,yellow
1772561,16,Mariano Echeverría,Arsenal de Sarandí,red
1772561,45,Nicolás Aguirre,Arsenal de Sarandí,yellow
1772561,26,Román Martínez,Estudiantes,yellow
1772561,41,Jonathan Silva,Estudiantes,yellow-red
1772561,61,Leandro Desábato,Estudiantes,yellow
1772561,62,Gastón Gil Romero,Estudiantes,yellow
1772561,90,Leonardo Jara,Estudiantes,yellow-red
1772562,51,Exequiel Benavídez,All Boys,yellow
1772562,62,Joel Sacks,Atlético Rafaela,yellow
1772562,66,Martín Zbrun,Atlético Rafaela,yellow
1772560,52,Gabriel Peñalba,Tigre,yellow
1772560,58,Sergio Araujo,Tigre,yellow
1772560,90,Matías Pérez García,Tigre,red
1772560,37,Héctor Canteros,Vélez Sarsfield,yellow
1772560,63,Sebastián Domínguez,Vélez Sarsfield,yellow
1772560,63,Francisco Cerro,Vélez Sarsfield,yellow
1772560,75,Ramiro Cáseres,Vélez Sarsfield,yellow
1772557,25,Jacobo Mansilla,Colón de Santa Fe,yellow
1772557,48,Iván Moreno y Fabianesi,Colón de Santa Fe,yellow
1772557,67,Sebastián Prediger,Colón de Santa Fe,yellow-red
1772557,82,Bruno Urribarri,Colón de Santa Fe,yellow
1772557,36,Iván Pillud,Racing Club,yellow
1772557,84,Diego Villar,Racing Club,yellow
1772559,79,Néstor Ortigoza,San Lorenzo,yellow
1772559,70,Adrían Martínez,Olimpo de Bahía Blanca,yellow
1772559,79,Damián Musto,Olimpo de Bahía Blanca,yellow
1772563,67,Fernando Barrientos,Lanús,yellow
1772563,45,Facundo Affranchino,Belgrano de Córdoba,yellow
1772563,46,Lucas Aveldaño,Belgrano de Córdoba,yellow
1772558,19,Juan Blengio,Gimnasia de La Plata,yellow
1772558,47,Lucas Licht,Gimnasia de La Plata,yellow
1772558,45,Osmar Ferreyra,River Plate,yellow
1772558,54,Cristian Ledesma,River Plate,yellow
1772558,70,Carlos Carbonero,River Plate,yellow
1772558,75,Jonatan Maidana,River Plate,yellow
1772555,70,Jonatan Schulze,Rosario Central,yellow
1772555,16,Emiliano Carrasco,Quilmes,yellow
1772555,67,Sebastián Martínez,Quilmes,yellow
1772554,65,Guillermo Burdisso,Boca Juniors,yellow
1772554,90,Cata Díaz,Boca Juniors,yellow
1772554,40,Lucas Bernardi,Newells Old Boys,yellow
1772554,53,Martín Tonso,Newells Old Boys,yellow
1772554,64,Cristian Díaz,Newells Old Boys,yellow
1772554,90,Victor Figueroa,Newells Old Boys,yellow
1772554,90,Milton Casco,Newells Old Boys,yellow
1772572,35,Diego Barisone,Argentinos Juniors,yellow
1772572,40,Julio Barraza,Argentinos Juniors,yellow
1772572,62,Nicolás Olmedo,Argentinos Juniors,yellow
1772572,41,Rubén Ramírez,Colón de Santa Fe,yellow
1772572,57,Gerardo Alcoba,Colón de Santa Fe,yellow
1772572,58,Bruno Urribarri,Colón de Santa Fe,yellow
1772566,11,Luciano Lollo,Belgrano de Córdoba,yellow
