GameID,Player1Home,Player2Home,Player3Home,Player4Home,Player5Home,Player6Home,Player7Home,Player8Home,Player9Home,Player10Home,Player11Home,Player1Away,Player2Away,Player3Away,Player4Away,Player5Away,Player6Away,Player7Away,Player8Away,Player9Away,Player10Away,Player11Away,Bench1Home,Bench2Home,Bench3Home,Bench4Home,Bench5Home,Bench6Home,Bench7Home,Bench8Home,Bench9Home,Bench10Home,Bench11Home,Bench12Home,Bench1Away,Bench2Away,Bench3Away,Bench4Away,Bench5Away,Bench6Away,Bench7Away,Bench8Away,Bench9Away,Bench10Away,Bench11Away,Bench12Away
8290699,Julio Chiarini,Nicolás Bianchi Arce,Francisco Dutari,Guillermo Cosaro,Walter Busse,Maximiliano Fornari,Hamilton Pereira,Alexis Niz,Leandro Díaz,Rodrigo Depetris,Gonzalo Di Renzo,Diego Pellegrino,Marcos Curado,Claudio Corvalán,Jonathan Bottinelli,Renzo Pérez,Juan Celaya,Franco Bellocq,Gabriel Sanabria,Gonzalo Giménez,Juan Sánchez,Franco Costa,Adrián Balboa,Javier Burrai,Daniel Garro,Kevin Mercado,Renzo Spinacci,Lucas Suarez,Patricio Vidal,None,None,None,None,None,Gonzalo Bazán,Tomás Berra,Franco Fragapane,Martín Giménez,Gonzalo Papa,Julio César Rodríguez,Pablo Santillo,None,None,None,None,None
8290702,Roberto Ramírez,Diego Viera,Pablo Alvarado,Luciano Abecasis,Marcelo Benítez,Pol Fernández,Fabián Henríquez,Juan Andrada,Facundo Silva,Juan Garro,Maximiliano Sigales,Marcos Díaz,Federico Mancinelli,Ezequiel Garré,Carlos Araujo,Hugo Nervo,Matías Fritzler,Daniel Montenegro,Alejandro Gamarra,Mauro Bogado,Lucio Compagnucci,Julio Angulo,Fabricio Angileri,Juan Bolado,Ezequiel Bonacorso,Gabriel Carabajal,Maximiliano Correa,Leonel Galeano,Ángel González,None,None,None,None,None,Norberto Briasco,Leandro Díaz,Gonzalo Marinelli,Ignacio Pussetto,Mario Risso,Nicolás Romat,Patricio Toranzo,None,None,None,None,None
8290696,Alexis Martín Arias,Facundo Oreja,Christian Ramos,Maximiliano Coronel,Lucas Licht,Maximiliano Meza,Daniel Imperiale,Ramiro Carrera,Luciano Perdomo,Pablo Vegetti,Franco Niell,Alan Aguerre,Cristian Nasuti,Maximiliano Caire,Fabricio Alvarenga,Lautaro Gianetti,Nicolás Tripichio,Gonzalo Diaz,Leandro Desábato,Mariano Pavone,Hernán Barcos,Diego Zabala,Darío Bottinelli,Lorenzo Faravelli,Manuel García,Manuel Guanini,Nicolás Ibáñez,Dardo Miloc,Sebastián Romero,None,None,None,None,None,Emiliano Amor,Yamil Asad,Fabián Assmann,Blas Cáceres,Jorge Correa,Lucas Robertone,Maximiliano Romero,None,None,None,None,None
8290695,Sebastián Sosa,Esteban Burgos,Paulo Ferrari,Marco Torsiglieri,Cristian Villagra,Damián Musto,Walter Montoya,Giovani Lo Celso,José Fernandez,Marco Rubén,Teófilo Gutiérrez,Agustín Rossi,Fabrizio Buschiazzo,Alexander Barboza,Rafael Delgado,Tomás Cardona,Luis Jerez Silva,Ignacio Rivero,Hernán Fredes,Agustín Bouzat,Juan Kaprof,Andrés Ríos,Jonás Aguirre,Gustavo Colman,Agustín Coscia,Jeremías Ledesma,Mauricio Martínez,Hernán Menosse,Ezequiel Rodríguez,None,None,None,None,None,Lucas Bareiro,Lucio Chiappero,Elias Gómez,Tomás Pochettino,Hugo Silva,Nicolás Stefanelli,Fernando Elizari,None,None,None,None,None
8290693,Agustín Orión,Nicolás Sánchez,Leandro Grimi,Sergio Vittor,Gastón Díaz,Óscar Romero,Luciano Aued,Ezequiel Videla,Marcos Acuña,Santiago Rosales,Lisandro López,Guido Herrera,Carlos Quintana,Javier Gandolfi,Lucas Kruspzky,Leonardo Godoy,Leonardo Gil,Fernando Godoy,Juan Ramírez,Pablo Guiñazú,Carlos Muñoz,Sebastián Palacios,Francisco Cerro,Diego González,Wilder Guisao,Emanuel Insúa,Braian Mansilla,Lautaro Martínez,Juan Musso,None,None,None,None,None,Aldo Araujo,Rodrigo Burgos,Mauricio Caranta,Ivo Chaves,Guillermo Cotugno,Nicolás Giménez,Eial Strahman,None,None,None,None,None
8290698,Cristian Lucchetti,Bruno Bianchi,Franco Sbuttoni,Lucas Villalba,Pablo Rosales,Pablo Cáceres,Nery Leyes,Guillermo Acosta,Luis Rodríguez,Leandro González,Cristian Menéndez,Lucas Hoyos,Teodoro Paredes,Mathías Abero,Óscar Carniello,Gastón Campi,Fernando Luna,Gabriel Gudiño,Emiliano Romero,Walter Serrano,Ramiro Costa,Mauro Albertengo,Rodrigo Aliendro,Josué Díaz Ayala,Ignacio Canuto,Leonel Di Plácido,José Méndez,Javier Mendoza,Fernando Zampedri,None,None,None,None,None,Tomás Baroni,Marco Borgnino,Ramiro Macagno,Gabriel Morales,Lucas Pittinari,Mariano Puch,Robin Ramirez,None,None,None,None,None
8290694,Sebastián Torrico,Matías Caruzzo,Mathias Corujo,Fabricio Coloccini,Fernando Belluschi,Néstor Ortigoza,Emanuel Mas,Franco Mussis,Bautista Merlini,Ezequiel Cerutti,Nicolás Blandi,Luis Ardente,Juan Mattia,Franco Lazzaroni,Maximiliano Lugo,Mauricio Casierra,Javier Capelli,Marcos Gelabert,Sebastián Navarro,Gustavo Villarruel,Emanuel Dening,Ezequiel Montagna,Marcos Angeleri,Sebastián Blanco,Martín Cauteruccio,Tino Costa,Juan Mercier,Nicolás Navarro,Leandro Romagnoli,None,None,None,None,None,Pablo Aguilar,Leonardo Corti,Matías Escudero,Jorge Luna,Nicolás Maná,Joaquín Molina,Nicolás Pelaitay,None,None,None,None,None
8290700,Adrián Gabbarini,Érik Godoy,Paulo Lima,Oliver Paz Benítez,Martín Galmarini,Diego Morales,Jorge Rodríguez,Emiliano Ellacopulos,Lucas Menossi,Federico González,Lucas Janson,Mariano Andújar,Lucas Diarte,Jonathan Schunke,Leandro González Pirez,Santiago Ascacíbar,Carlos Auzqui,Israel Damonte,Lucas Rodríguez,Facundo Sánchez,Augusto Solari,Ignacio Bailone,Alexis Castro,Mariano Echeverría,Gaspar Iñíguez,Fernando Lugo,Carlos Luna,Sebastián Rincón,Lucas Wilchez,None,None,None,None,None,Juan Cascini,Juan Cavallaro,Iván Gómez,Gabriel Graciani,Nahuel Losada,Julián Marchioni,Lucas Viatri,None,None,None,None,None
8290701,César Rigamonti,Matias Sarulyte,Diego Colotto,Matías Orihuela,Cristian Garcia,Fernando De la Fuente,Gastón Bottino,Hernán Da Campo,Maximiliano González,Enzo Acosta,Facundo Coria,Luciano Pocrnjic,Néstor Moiraghi,Sebastián Domínguez,Germán Voboril,Diego Mateo,Mauro Fórmica,Maxi Rodriguez,Joel Amoroso,Luis Advíncula,Facundo Quignón,Ignacio Scocco,Federico Andrada,Ismael Benegas,Franco Pedraza,Matías Pérez Acuña,Gabriel Ramírez,Horacio Ramírez,José Valdéz,None,None,None,None,None,Héctor Fértoli,Victor Figueroa,Eugenio Isnaldo,Mauro Matos,Sebastián Prediger,Juan Sills,Luis Unsain,None,None,None,None,None
8290703,Juan Olave,Lucas Aveldaño,Renzo Saravia,José Rojas,Cristian Romero,Iván Etevenaux,Federico Lértora,Jorge Velázquez,Mario Bolatti,Matías Suárez,Claudio Bieler,Martín Campaña,Nicolás Tagliafico,Víctor Cuesta,Nicolás Figal,Gustavo Toledo,Jesús Méndez,Cristian Rodríguez,Diego Rodríguez,Emiliano Rigoni,Leandro Fernández,Germán Denis,Gastón Álvarez Suárez,Esteban Espíndola López,Nahuel Luján,Sebastián Luna,Fernando Márquez,Germán Montoya,Iván Óbolo,None,None,None,None,None,Ezequiel Barco,Martín Benítez,Jorge Ortiz,Hernán Pellerano,Gonzalo Rehak,Juan Sánchez Miño,Diego Vera,None,None,None,None,None
8290705,Nereo Fernández,Rolando García,Nelson Acevedo,Leonardo Sánchez,Emanuel Brítez,Nahuel Zárate,Martín Rolle,Diego Godoy,Mauro Pittón,Federico Anselmo,Lucas Gamba,Nereo Champagne,Carlos Rodríguez,Víctor López,Joel Sacks,Juan Quiroga,Said Llambay,Jonathan Blanco,Jacobo Mansilla,Emiliano Tellechea,Julián Fernández,Fernando Coniglio,Lucas Algozino,Danilo Carando,Matias Castro,Manuel De Iriondo,Bruno Pittón,Agustín Sandona,Diego Villar,Nicolás Andereggen,None,None,None,None,Sebastián Anchoverri,Federico Freire,Ezequiel Parnisari,Maximiliano Pérez,Francisco Pizzini,Franco Troyansky,Lucas Villarruel,None,None,None,None,None
8290692,Augusto Batalla,Jonatan Maidana,Arturo Mina,Jorge Moreira,Gonzalo Martínez,Milton Casco,Andrés DAlessandro,Leonardo Ponzio,Ignacio Fernández,Sebastián Driussi,Lucas Alario,Hilario Navarro,Gonzalo Prósperi,Alexis Soto,Carlos Matheu,Jorge Rodriguez,Juan Cobo,Nicolás Bertolo,Walter Erviti,Mauricio Sperdutti,Brian Sarmiento,Santiago Silva,Tomás Andrade,Enrique Bologna,Nicolás Domingo,Iván Alonso,Marcelo Larrondo,Camilo Mayada,Gonzalo Montiel,None,None,None,None,None,Mauricio Arboleda,Mauricio Asenjo,Gonzalo Bettini,Emanuel Cecchini,Agustin Fontana,Eric Remedi,Adrián Sporle,None,None,None,None,None
8290704,Fernando Monetti,Maximiliano Velázquez,José Luis Gómez,Diego Braghieri,Rodrigo Erramuspe,Lautaro Acosta,Miguel Almirón,Román Martínez,Iván Marcone,José Sand,Marcelino Moreno,Guillermo Sara,Gino Peruzzi,Frank Fabra,Juan Insaurralde,Santiago Vergini,Pablo Pérez,Gonzalo Castellani,Rodrigo Bentancur,Cristian Pavón,Darío Benedetto,Carlos Tévez,Esteban Andrada,Brian Montenegro,Nicolás Pasquini,Agustín Pelletieri,Ciro Rius,Alejandro Silva,Santiago Zurbriggen,None,None,None,None,None,Walter Bou,Federico Carrizo,Ricardo Centurión,Leonardo Jara,Fernando Tobio,Axel Werner,Fernando Zuqui,None,None,None,None,None
