GameID,League,Season,Date,HomeTeam,AwayTeam,Result
8453221,argprimeradivision,2017-2018,26.08.2017,Tigre,Vélez Sarsfield,0:3
8453219,argprimeradivision,2017-2018,26.08.2017,Banfield,Belgrano de Córdoba,2:1
8453226,argprimeradivision,2017-2018,26.08.2017,Defensa y Justicia,Gimnasia de La Plata,4:4
8453218,argprimeradivision,2017-2018,26.08.2017,Colón de Santa Fe,Rosario Central,1:1
8453222,argprimeradivision,2017-2018,26.08.2017,Talleres de Córdoba,Lanús,5:2
8453229,argprimeradivision,2017-2018,27.08.2017,Independiente,Huracán,3:1
8453227,argprimeradivision,2017-2018,27.08.2017,San Martín de San Juan,Patronato de Paraná,2:0
8453223,argprimeradivision,2017-2018,27.08.2017,Atlético Tucumán,Godoy Cruz,2:1
8453228,argprimeradivision,2017-2018,27.08.2017,San Lorenzo,Racing Club,1:1
8453217,argprimeradivision,2017-2018,27.08.2017,Boca Juniors,Olimpo de Bahía Blanca,3:0
8453230,argprimeradivision,2017-2018,28.08.2017,Temperley,River Plate,0:1
8453225,argprimeradivision,2017-2018,29.08.2017,Newells Old Boys,Unión de Santa Fe,1:1
8453231,argprimeradivision,2017-2018,29.08.2017,Estudiantes,Arsenal de Sarandí,2:1
8453220,argprimeradivision,2017-2018,08.10.2017,Argentinos Juniors,Chacarita Juniors,1:0
8453232,argprimeradivision,2017-2018,09.09.2017,Vélez Sarsfield,Atlético Tucumán,2:0
8453242,argprimeradivision,2017-2018,09.09.2017,Arsenal de Sarandí,Colón de Santa Fe,0:1
8453233,argprimeradivision,2017-2018,09.09.2017,Olimpo de Bahía Blanca,Independiente,1:1
8453237,argprimeradivision,2017-2018,09.09.2017,Belgrano de Córdoba,San Martín de San Juan,1:0
8453244,argprimeradivision,2017-2018,09.09.2017,Estudiantes,Defensa y Justicia,0:1
8453239,argprimeradivision,2017-2018,09.09.2017,Patronato de Paraná,Argentinos Juniors,2:1
8453240,argprimeradivision,2017-2018,10.09.2017,Racing Club,Temperley,4:1
8453238,argprimeradivision,2017-2018,10.09.2017,Chacarita Juniors,Tigre,1:1
8453235,argprimeradivision,2017-2018,10.09.2017,Godoy Cruz,Talleres de Córdoba,2:1
8453243,argprimeradivision,2017-2018,10.09.2017,Rosario Central,San Lorenzo,0:0
8453241,argprimeradivision,2017-2018,10.09.2017,River Plate,Banfield,3:1
8453234,argprimeradivision,2017-2018,11.09.2017,Lanús,Boca Juniors,0:1
8453245,argprimeradivision,2017-2018,12.09.2017,Unión de Santa Fe,Gimnasia de La Plata,1:0
8453236,argprimeradivision,2017-2018,12.09.2017,Huracán,Newells Old Boys,1:0
8453247,argprimeradivision,2017-2018,16.09.2017,Tigre,Patronato de Paraná,1:3
8453259,argprimeradivision,2017-2018,16.09.2017,Colón de Santa Fe,Estudiantes,0:0
8453251,argprimeradivision,2017-2018,16.09.2017,Argentinos Juniors,Belgrano de Córdoba,1:2
8462874,argprimeradivision,2017-2018,16.09.2017,Defensa y Justicia,Unión de Santa Fe,1:3
8453258,argprimeradivision,2017-2018,16.09.2017,Newells Old Boys,Olimpo de Bahía Blanca,2:0
8462875,argprimeradivision,2017-2018,16.09.2017,San Lorenzo,Arsenal de Sarandí,1:0
8462876,argprimeradivision,2017-2018,17.09.2017,Independiente,Lanús,0:1
8453254,argprimeradivision,2017-2018,17.09.2017,Talleres de Córdoba,Vélez Sarsfield,0:0
8453246,argprimeradivision,2017-2018,17.09.2017,Atlético Tucumán,Chacarita Juniors,1:1
8453250,argprimeradivision,2017-2018,17.09.2017,Banfield,Racing Club,1:0
8453256,argprimeradivision,2017-2018,17.09.2017,Boca Juniors,Godoy Cruz,4:1
8453249,argprimeradivision,2017-2018,18.09.2017,San Martín de San Juan,River Plate,1:3
8462877,argprimeradivision,2017-2018,19.09.2017,Gimnasia de La Plata,Huracán,1:3
8462878,argprimeradivision,2017-2018,19.09.2017,Temperley,Rosario Central,1:1
8453267,argprimeradivision,2017-2018,23.09.2017,Belgrano de Córdoba,Tigre,0:0
