GameID,Minute,Scorer,Team
1765599,78,Philipp Hosiner,Austria Wien
1765599,90,Marko Stanković,Austria Wien
1765597,57,Danijel Mićić,Wolfsberger AC
1765597,89,Michael Liendl,Wolfsberger AC
1765597,29,Guido Burgstaller,Rapid Wien
1765597,37,Louis Schaub,Rapid Wien
1765598,30,Mario Pollhammer,SC Wiener Neustadt
1765598,22,Jonathan Soriano,RB Salzburg
1765598,32,Jonathan Soriano,RB Salzburg
1765598,56,Jonathan Soriano,RB Salzburg
1765598,59,Kevin Kampl,RB Salzburg
1765598,84,Kevin Kampl,RB Salzburg
1765596,80,Stjepan Vuleta,FC Wacker Innsbruck
1765596,87,Roman Wallner,FC Wacker Innsbruck
1765596,90,Christian Schilling,FC Wacker Innsbruck
1765596,60,Imre Szabics,Sturm Graz
1765602,28,Guido Burgstaller,Rapid Wien
1765602,38,Guido Burgstaller,Rapid Wien
1765602,53,Terrence Boyd,Rapid Wien
1765602,78,Terrence Boyd,Rapid Wien
1765600,67,René Gartler,SV Ried
1765603,9,Jonathan Soriano,RB Salzburg
1765603,27,Alan,RB Salzburg
1765603,46,Kevin Kampl,RB Salzburg
1765603,64,André Ramalho,RB Salzburg
1765603,73,Kevin Kampl,RB Salzburg
1765603,40,Alexander Grünwald,Austria Wien
1765604,40,Stefan Schwab,FC Admira Wacker
1765604,17,Daniel Schütz,FC Wacker Innsbruck
1765604,77,Alexander Hauser,FC Wacker Innsbruck
1765601,79,Philipp Zulechner,SV Grödig
1765601,89,Philipp Zulechner,SV Grödig
1765609,12,Peter Hlinka,SC Wiener Neustadt
1765609,77,Christoph Martschinko,SC Wiener Neustadt
1765609,1,Manuel Kerhe,Wolfsberger AC
1765605,25,Thomas Salamon,SV Grödig
1765605,32,Dieter Elsneg,SV Grödig
1765605,42,Mario Leitgeb,SV Grödig
1765605,55,Tomi,SV Grödig
1765605,69,Ione Cabrera,SV Grödig
1765605,89,Dieter Elsneg,SV Grödig
1765605,90,Philipp Zulechner,SV Grödig
1765605,6,Stefan Schwab,FC Admira Wacker
1765606,44,Lukas Hinterseer,FC Wacker Innsbruck
1765606,15,Jonathan Soriano,RB Salzburg
1765610,22,Marko Stanković,Austria Wien
1765610,45,Marko Stanković,Austria Wien
1765610,60,Tomáš Jun,Austria Wien
1765610,59,René Gartler,SV Ried
1765610,81,Oliver Kragl,SV Ried
1765610,89,Furkan Aydogdu,SV Ried
1765607,3,Nikola Vujadinović,Sturm Graz
1765607,88,Daniel Beichler,Sturm Graz
1765607,47,Christopher Trimmel,Rapid Wien
1765607,52,Guido Burgstaller,Rapid Wien
1765607,77,Brian Behrendt,Rapid Wien
1765607,90,Louis Schaub,Rapid Wien
1765615,30,Michael Liendl,Wolfsberger AC
1765615,63,Lukas Hinterseer,FC Wacker Innsbruck
1765614,32,Robert Žulj,SV Ried
1765614,50,Peter Hlinka,SC Wiener Neustadt
1765618,51,Martin Hinteregger,RB Salzburg
1765618,66,André Ramalho,RB Salzburg
1765618,83,Valon Berisha,RB Salzburg
1765618,90,Jonathan Soriano,RB Salzburg
1765618,38,Dieter Elsneg,SV Grödig
1765619,51,Issiaka Ouédraogo,FC Admira Wacker
1765619,5,Florian Kainz,Sturm Graz
1765622,57,Robert Berić,Sturm Graz
1765622,22,Jonathan Soriano,RB Salzburg
1765620,8,Philipp Zulechner,SV Grödig
1765620,19,Thomas Salamon,SV Grödig
1765620,71,Hannes Sigurðsson,SV Grödig
1765620,28,Gernot Suppan,Wolfsberger AC
1765620,70,Michael Liendl,Wolfsberger AC
1765620,79,Christian Falk,Wolfsberger AC
1765620,85,Jacobo,Wolfsberger AC
1765621,21,Marco Kofler,FC Wacker Innsbruck
1765621,23,Roman Wallner,FC Wacker Innsbruck
1765621,3,Clemens Walch,SV Ried
1765621,44,Patrick Möschl,SV Ried
1765621,72,Robert Žulj,SV Ried
1765623,7,Alexander Gorgon,Austria Wien
1765623,28,Tomáš Jun,Austria Wien
1765623,70,Philipp Hosiner,Austria Wien
1765623,75,Marko Stanković,Austria Wien
1765623,90,Philipp Hosiner,Austria Wien
1765624,36,Wilfried Domoraud,FC Admira Wacker
1765624,90,René Schicker,FC Admira Wacker
1765625,12,Julius Perstaller,SV Ried
1765625,35,Clemens Walch,SV Ried
1765625,69,Clemens Walch,SV Ried
1765627,69,Dario Baldauf,Wolfsberger AC
1765627,28,Daniel Royer,Austria Wien
1765627,59,Alexander Grünwald,Austria Wien
1765627,83,Marko Stanković,Austria Wien
1765627,85,Roman Kienast,Austria Wien
1765630,31,Kristijan Dobras,SC Wiener Neustadt
1765630,63,Lukas Hinterseer,FC Wacker Innsbruck
1765628,24,Maximilian Karner,SV Grödig
1765632,59,Jonathan Soriano,RB Salzburg
1765636,6,Nikola Vujadinović,Sturm Graz
1765636,16,Anel Hadžić,Sturm Graz
1765636,69,Daniel Beichler,Sturm Graz
1765636,73,Robert Berić,Sturm Graz
1765636,86,Manuel Kerhe,Wolfsberger AC
1765635,10,Philipp Zulechner,SV Grödig
1765635,50,Philipp Zulechner,SV Grödig
1765635,83,Tadej Trdina,SV Grödig
1765635,22,Peter Hlinka,SC Wiener Neustadt
1765635,58,Thomas Pichlmann,SC Wiener Neustadt
1765635,73,Dennis Mimm,SC Wiener Neustadt
1765635,80,Dennis Mimm,SC Wiener Neustadt
1765635,89,David Witteveen,SC Wiener Neustadt
1765635,90,Dennis Mimm,SC Wiener Neustadt
1765639,90,Rubin Okotie,Austria Wien
1765639,56,Lukas Hinterseer,FC Wacker Innsbruck
1765640,63,Stefan Schwab,FC Admira Wacker
1765640,3,René Gartler,SV Ried
1765640,10,Oliver Kragl,SV Ried
1765640,28,René Gartler,SV Ried
1765640,69,René Gartler,SV Ried
1765637,43,Stefan Hierländer,RB Salzburg
1765637,65,Terrence Boyd,Rapid Wien
1765656,31,Mario Sonnleitner,Rapid Wien
1765656,55,Terrence Boyd,Rapid Wien
1765656,80,Thanos Petsos,Rapid Wien
1765656,88,Guido Burgstaller,Rapid Wien
1765657,2,Christian Falk,Wolfsberger AC
