GameID,Minute,Player,Team,Card
2217251,74,Christian Schwegler,RB Salzburg,yellow
2217251,84,Kevin Kampl,RB Salzburg,yellow
2217251,90,Peter Ankersen,RB Salzburg,yellow
2217251,32,Maximilian Hofmann,Rapid Wien,yellow
2217251,42,Stefan Schwab,Rapid Wien,yellow
2217251,69,Steffen Hofmann,Rapid Wien,yellow
2217251,78,Thomas Schrammel,Rapid Wien,yellow
2217252,41,Toni Vastić,SV Ried,yellow
2217252,49,Denis Streker,SV Ried,yellow
2217252,60,Harald Pichler,SV Ried,yellow
2217252,72,Oliver Kragl,SV Ried,yellow
2217252,90,Marcel Ziegl,SV Ried,yellow
2217252,56,Christian Deutschmann,SC Wiener Neustadt,yellow
2217252,63,Remo Mally,SC Wiener Neustadt,yellow
2217252,71,Tobias Kainz,SC Wiener Neustadt,yellow
2217252,83,Christoph Freitag,SC Wiener Neustadt,yellow
2217253,12,Lukas Thürauer,FC Admira Wacker,yellow
2217253,72,Christoph Knasmüllner,FC Admira Wacker,yellow
2217254,22,Alexander Pöllhuber,SCR Altach,yellow
2217254,47,Andreas Lienhart,SCR Altach,yellow
2217254,89,Louis NGwat-Mahop,SCR Altach,yellow
2217254,21,Michael Madl,Sturm Graz,yellow
2217254,49,Christian Klem,Sturm Graz,yellow
2217254,56,Marko Stanković,Sturm Graz,yellow
2217254,72,Aleksandar Todorovski,Sturm Graz,yellow
2217255,28,De Paula,Austria Wien,yellow
2217255,36,Christian Ramsebner,Austria Wien,yellow
2217255,43,Roman Kienast,Austria Wien,yellow
2217255,75,Markus Suttner,Austria Wien,yellow
2217255,36,Tomi,SV Grödig,yellow
2217255,36,Stefan Nutz,SV Grödig,yellow
2217255,85,Christoph Martschinko,SV Grödig,yellow
2217255,88,Matthias Maak,SV Grödig,yellow
2217255,90,Sandro Djuric,SV Grödig,yellow
2217257,6,Boris Hüttenbrenner,Wolfsberger AC,yellow
2217257,43,Peter Žulj,Wolfsberger AC,yellow
2217257,55,Christopher Wernitznig,Wolfsberger AC,yellow
2217257,6,Vanče Šikov,Austria Wien,red
2217257,59,Christian Ramsebner,Austria Wien,yellow
2217257,80,Manuel Ortlechner,Austria Wien,yellow
2217256,63,Thanos Petsos,Rapid Wien,yellow
2217256,83,Dominik Wydra,Rapid Wien,yellow
2217256,30,Denis Streker,SV Ried,yellow
2217256,87,Oliver Kragl,SV Ried,yellow
2217256,90,Bernhard Janeczek,SV Ried,yellow
2217258,56,Mario Ebenhofer,SC Wiener Neustadt,yellow
2217258,75,Remo Mally,SC Wiener Neustadt,red
2217258,40,Sadio Mané,RB Salzburg,yellow-red
2217258,88,André Ramalho,RB Salzburg,yellow
2217260,5,Timo Brauer,SV Grödig,yellow
2217260,52,Tomi,SV Grödig,yellow
2217260,90,Sandro Djuric,SV Grödig,yellow
2217260,24,Marco Djuricin,Sturm Graz,yellow
2217260,25,David Schloffer,Sturm Graz,yellow
2217259,26,Daniel Luxbacher,SCR Altach,yellow
2217259,53,Hannes Aigner,SCR Altach,yellow
2217259,28,Markus Lackner,FC Admira Wacker,yellow
2217265,54,Richard Windbichler,FC Admira Wacker,yellow-red
2217265,57,Stephan Zwierschitz,FC Admira Wacker,yellow
2217265,60,Thorsten Schick,FC Admira Wacker,yellow
2217265,43,Christopher Dibon,Rapid Wien,yellow
2217265,57,Louis Schaub,Rapid Wien,yellow
2217265,67,Thomas Schrammel,Rapid Wien,yellow
2217262,37,James Holland,Austria Wien,yellow
2217262,90,Christian Ramsebner,Austria Wien,yellow
2217262,19,Hannes Aigner,SCR Altach,yellow
2217262,58,Jan Zwischenbrugger,SCR Altach,yellow
2217262,90,Boris Prokopič,SCR Altach,yellow
2217263,17,Anel Hadžić,Sturm Graz,yellow
2217263,51,Daniel Beichler,Sturm Graz,yellow
2217263,55,Daniel Offenbacher,Sturm Graz,yellow
2217263,76,Michael Madl,Sturm Graz,yellow
2217263,85,Marco Djuricin,Sturm Graz,yellow
2217263,90,Tomislav Barbarić,Sturm Graz,yellow
2217263,27,Mario Pollhammer,SC Wiener Neustadt,yellow
2217263,34,Daniel Schöpf,SC Wiener Neustadt,yellow
2217264,18,Bernhard Janeczek,SV Ried,yellow
2217264,43,Patrick Möschl,SV Ried,yellow
2217264,59,Thomas Reifeltshammer,SV Ried,yellow
2217264,88,Stefan Lainer,SV Ried,yellow
2217264,73,Kevin Kampl,RB Salzburg,yellow
2217264,78,Franz Schiemer,RB Salzburg,yellow-red
2217261,10,Christoph Martschinko,SV Grödig,yellow
2217261,13,Manuel Weber,Wolfsberger AC,yellow
2217261,19,Boris Hüttenbrenner,Wolfsberger AC,yellow
2217261,60,Tadej Trdina,Wolfsberger AC,yellow
2217261,86,Alexander Kofler,Wolfsberger AC,yellow
2217270,3,Reinhold Ranftl,SC Wiener Neustadt,yellow
2217270,82,Christian Deutschmann,SC Wiener Neustadt,yellow
2217270,90,Thomas Pichlmann,SC Wiener Neustadt,yellow
2217270,4,Alexander Gorgon,Austria Wien,yellow
2217270,25,Mario Leitgeb,Austria Wien,yellow
2217270,48,Manuel Ortlechner,Austria Wien,yellow
2217268,16,Mario Sonnleitner,Rapid Wien,yellow
2217268,17,Thanos Petsos,Rapid Wien,yellow
2217268,56,Christopher Dibon,Rapid Wien,yellow
