GameID,Minute,PlayerIn,PlayerOut,Team
2406920,64,Alexander Ibser,Markus Pink,SV Mattersburg
2406920,72,Mario Grgic,Michael Perlak,SV Mattersburg
2406920,86,Alois Höller,Michael Novak,SV Mattersburg
2406920,46,Takumi Minamino,Yordy Reyna,RB Salzburg
2406920,46,Valon Berisha,Konrad Laimer,RB Salzburg
2406920,70,Dimitri Oberlin,Marco Djuricin,RB Salzburg
2406922,58,Roman Kienast,Donis Avdijaj,Sturm Graz
2406922,67,Marc Andre Schmerböck,Kristijan Dobras,Sturm Graz
2406922,82,Sascha Horvath,Daniel Offenbacher,Sturm Graz
2406922,57,Issiaka Ouédraogo,Lukas Grozurek,FC Admira Wacker
2406922,65,Markus Blutsch,Philipp Malicsek,FC Admira Wacker
2406922,70,Daniel Toth,René Schicker,FC Admira Wacker
2406924,45,Stefan Stangl,Thomas Schrammel,Rapid Wien
2406924,63,Louis Schaub,Philipp Schobesberger,Rapid Wien
2406924,73,Philipp Huspek,Steffen Hofmann,Rapid Wien
2406924,57,Manuel Gavilàn,Daniel Sikorski,SV Ried
2406924,69,Alberto Prada,Thomas Murg,SV Ried
2406924,81,Gernot Trauner,Denis Streker,SV Ried
2406926,46,Christian Derflinger,Hannes Aigner,SV Grödig
2406926,69,Bernd Gschweidl,Roman Wallner,SV Grödig
2406926,78,Benjamin Sulimani,Daniel Schütz,SV Grödig
2406926,46,Louis NGwat-Mahop,Sandro Djuric,SCR Altach
2406926,63,Boris Prokopič,Felix Roth,SCR Altach
2406926,76,Patrick Seeger,Patrick Salomon,SCR Altach
2406928,41,Tadej Trdina,Philip Hellquist,Wolfsberger AC
2406928,63,Silvio,Roland Putsche,Wolfsberger AC
2406928,88,Peter Žulj,Jacobo,Wolfsberger AC
2406928,34,Vanče Šikov,Richard Windbichler,Austria Wien
2406928,76,Roi Kehat,Philipp Zulechner,Austria Wien
2406928,88,De Paula,Alexander Gorgon,Austria Wien
2406930,46,Christoph Leitgeb,Konrad Laimer,RB Salzburg
2406930,46,Dimitri Oberlin,Marco Djuricin,RB Salzburg
2406930,73,Takumi Minamino,Valon Berisha,RB Salzburg
2406930,54,Philipp Schobesberger,Philipp Huspek,Rapid Wien
2406930,63,Robert Berić,Philipp Prosenik,Rapid Wien
2406930,80,Srđan Grahovac,Louis Schaub,Rapid Wien
2406934,46,Toni Vastić,Christoph Knasmüllner,FC Admira Wacker
2406934,55,Daniel Toth,Philipp Malicsek,FC Admira Wacker
2406934,85,Florian Neuhold,Markus Lackner,FC Admira Wacker
2406934,30,Thorsten Röcher,Michael Novak,SV Mattersburg
2406934,62,Alexander Ibser,Michael Perlak,SV Mattersburg
2406934,76,Florian Templ,Sven Sprangler,SV Mattersburg
2406932,15,Denis Streker,Marcel Ziegl,SV Ried
2406932,71,Manuel Gavilàn,Daniel Sikorski,SV Ried
2406932,87,Michele Polverino,Clemens Walch,SV Ried
2406932,67,Manuel Seidl,Peter Žulj,Wolfsberger AC
2406932,75,Stephan Palla,Dario Baldauf,Wolfsberger AC
2406936,75,Roi Kehat,Philipp Zulechner,Austria Wien
2406936,83,Kevin Friesenbichler,Alexander Grünwald,Austria Wien
2406936,90,Tarkan Serbest,Raphael Holzhauser,Austria Wien
2406936,67,Patrick Seeger,Hannes Aigner,SCR Altach
2406936,67,Juan Barrera,Louis NGwat-Mahop,SCR Altach
2406936,73,Lukas Jäger,Philipp Netzer,SCR Altach
2406938,20,Thorsten Schick,Christian Klem,Sturm Graz
2406938,46,Bright Edomwonyi,Sascha Horvath,Sturm Graz
2406938,60,Josip Tadić,Roman Kienast,Sturm Graz
2406938,46,Roman Kerschbaum,Christian Derflinger,SV Grödig
2406938,71,Thomas Goiginger,Daniel Schütz,SV Grödig
2406938,81,Roman Wallner,Bernd Gschweidl,SV Grödig
2406940,56,Lukas Denner,Daniel Schütz,SV Grödig
2406940,61,Thomas Goiginger,Benjamin Sulimani,SV Grödig
2406940,70,Robert Völkl,Roman Kerschbaum,SV Grödig
2406940,61,Kevin Friesenbichler,Olarenwaju Kayode,Austria Wien
2406940,72,Roi Kehat,Ognjen Vukojević,Austria Wien
2406940,83,Patrizio Stronati,Philipp Zulechner,Austria Wien
2406942,59,Florian Templ,Markus Pink,SV Mattersburg
2406942,70,Thorsten Röcher,Mario Grgic,SV Mattersburg
2406942,87,Philipp Erhardt,Alois Höller,SV Mattersburg
2406942,55,Thomas Reifeltshammer,Thomas Bergmann,SV Ried
2406942,72,Patrick Möschl,Dieter Elsneg,SV Ried
2406942,86,Fabian Schubert,Manuel Gavilàn,SV Ried
2406946,60,René Schicker,Daniel Toth,FC Admira Wacker
2406946,70,Maximilian Sax,Toni Vastić,FC Admira Wacker
2406946,85,Stephan Zwierschitz,Dominik Starkl,FC Admira Wacker
2406946,62,Marco Djuricin,Omer Damari,RB Salzburg
2406946,74,Dimitri Oberlin,Yordy Reyna,RB Salzburg
2406946,80,Konrad Laimer,Valon Berisha,RB Salzburg
2406948,46,Martin Harrer,Louis NGwat-Mahop,SCR Altach
2406948,61,Felix Roth,Boris Prokopič,SCR Altach
2406948,74,Patrick Seeger,Lukas Jäger,SCR Altach
2406948,60,Bright Edomwonyi,Josip Tadić,Sturm Graz
2406948,71,Kristijan Dobras,Andreas Gruber,Sturm Graz
2406948,81,Anel Hadžić,Donis Avdijaj,Sturm Graz
2406944,46,Florian Kainz,Stefan Nutz,Rapid Wien
2406944,46,Stephan Auer,Michael Schimpelsberger,Rapid Wien
2406944,85,Philipp Prosenik,Robert Berić,Rapid Wien
2406944,46,Roland Putsche,Manuel Weber,Wolfsberger AC
2406944,69,Dario Baldauf,Stephan Palla,Wolfsberger AC
2406944,85,Jacobo,Christopher Wernitznig,Wolfsberger AC
2406950,46,Marcel Ziegl,Denis Streker,SV Ried
2406950,46,Patrick Möschl,Alberto Prada,SV Ried
2406950,76,Fabian Schubert,Manuel Gavilàn,SV Ried
2406950,66,Jonathan Soriano,Omer Damari,RB Salzburg
2406950,66,Dimitri Oberlin,Yordy Reyna,RB Salzburg
2406950,80,Konrad Laimer,Naby Keïta,RB Salzburg
2406952,56,Christopher Wernitznig,Jacobo,Wolfsberger AC
2406952,62,Tadej Trdina,Silvio,Wolfsberger AC
2406952,70,Peter Žulj,Tadej Trdina,Wolfsberger AC
2406952,69,Roman Kienast,Josip Tadić,Sturm Graz
2406952,80,Daniel Offenbacher,Donis Avdijaj,Sturm Graz
2406952,90,Andreas Gruber,Thorsten Schick,Sturm Graz
2406954,67,Felix Roth,Jan Zwischenbrugger,SCR Altach
2406954,67,César Ortiz,,SCR Altach
2406954,73,Patrick Salomon,Juan Barrera,SCR Altach
2406954,46,Thorsten Röcher,Mario Grgic,SV Mattersburg
2406954,46,Michael Perlak,Sven Sprangler,SV Mattersburg
2406954,77,Dominik Doleschal,Alois Höller,SV Mattersburg
2406956,46,Christian Derflinger,Sandro Djuric,SV Grödig
2406956,67,Thomas Goiginger,Benjamin Sulimani,SV Grödig
2406956,79,Bernd Gschweidl,Roman Wallner,SV Grödig
2406956,54,Toni Vastić,René Schicker,FC Admira Wacker
2406956,69,Daniel Toth,Philipp Malicsek,FC Admira Wacker
2406958,60,Kevin Friesenbichler,Alexander Grünwald,Austria Wien
2406958,67,Tarkan Serbest,Ognjen Vukojević,Austria Wien
2406958,82,De Paula,Fabian Koch,Austria Wien
2406958,46,Maximilian Hofmann,Christopher Dibon,Rapid Wien
2406958,57,Louis Schaub,Steffen Hofmann,Rapid Wien
2406958,74,Deni Alar,Robert Berić,Rapid Wien
2406960,71,Marco Meilinger,Alexander Gorgon,Austria Wien
2406960,76,Tarkan Serbest,Ognjen Vukojević,Austria Wien
2406960,82,Kevin Friesenbichler,Philipp Zulechner,Austria Wien
2406960,46,Alois Höller,Thorsten Röcher,SV Mattersburg
2406960,67,Dominik Doleschal,Florian Templ,SV Mattersburg
2406960,79,Mario Grgic,Patrick Farkas,SV Mattersburg
2406962,32,René Schicker,Daniel Toth,FC Admira Wacker
2406962,69,Eldis Bajrami,Maximilian Sax,FC Admira Wacker
2406962,85,Lukas Grozurek,Toni Vastić,FC Admira Wacker
2406962,46,Daniel Sikorski,Michele Polverino,SV Ried
2406962,56,Clemens Walch,Patrick Möschl,SV Ried
2406962,69,Fabian Schubert,Manuel Gavilàn,SV Ried
2406964,46,Peter Tschernegg,Roland Putsche,Wolfsberger AC
2406964,71,Jacobo,Thomas Zündel,Wolfsberger AC
2406964,84,Peter Žulj,Manuel Seidl,Wolfsberger AC
2406964,66,Bernd Gschweidl,Roman Kerschbaum,SV Grödig
2406964,72,Lukas Denner,Daniel Schütz,SV Grödig
2406964,84,Christian Derflinger,Timo Brauer,SV Grödig
2406966,34,Dimitri Oberlin,Omer Damari,RB Salzburg
2406966,60,David Atanga,Yordy Reyna,RB Salzburg
2406966,80,Christian Schwegler,Valon Berisha,RB Salzburg
2406966,62,Patrick Seeger,Martin Harrer,SCR Altach
2406966,62,Louis NGwat-Mahop,Daniel Luxbacher,SCR Altach
2406966,68,Boris Prokopič,Andreas Lienhart,SCR Altach
2406972,60,Simon Piesinger,Anel Hadžić,Sturm Graz
2406972,74,Bright Edomwonyi,Josip Tadić,Sturm Graz
2406972,77,Andreas Gruber,Thorsten Schick,Sturm Graz
2406972,8,Mario Pavelić,Stefan Stangl,Rapid Wien
2406972,55,Steffen Hofmann,Stefan Schwab,Rapid Wien
2406972,62,Robert Berić,,Rapid Wien
2406982,46,Christopher Dibon,Maximilian Hofmann,Rapid Wien
2406982,62,Louis Schaub,Philipp Huspek,Rapid Wien
2406982,68,Mario Pavelić,Michael Schimpelsberger,Rapid Wien
2406982,59,Christian Derflinger,Bernd Gschweidl,SV Grödig
2406982,70,Thomas Goiginger,Pascal Itter,SV Grödig
2406982,84,Roman Wallner,Benjamin Sulimani,SV Grödig
2406986,70,Daniel Sikorski,Patrick Möschl,SV Ried
2406986,76,Denis Streker,Oliver Kragl,SV Ried
2406986,87,Michele Polverino,Manuel Gavilàn,SV Ried
2406986,62,Roman Kienast,Josip Tadić,Sturm Graz
2406986,82,Andreas Gruber,Kristijan Dobras,Sturm Graz
2406986,87,Bright Edomwonyi,Martin Ehrenreich,Sturm Graz
2406988,75,Florian Templ,Thorsten Röcher,SV Mattersburg
2406988,84,Sven Sprangler,Michael Perlak,SV Mattersburg
2406988,90,Mario Grgic,Karim Onisiwo,SV Mattersburg
2406988,46,Michael Sollbauer,Roland Putsche,Wolfsberger AC
2406988,65,Marc Andre Schmerböck,Christopher Wernitznig,Wolfsberger AC
2406988,84,Peter Žulj,Silvio,Wolfsberger AC
2406980,60,Valentino Lazaro,Smail Prevljak,RB Salzburg
2406980,68,Jonathan Soriano,Yasin Pehlivan,RB Salzburg
2406980,81,Yordy Reyna,Håvard Nielsen,RB Salzburg
2406980,74,Richard Windbichler,Alexander Grünwald,Austria Wien
2406980,75,De Paula,Alexander Gorgon,Austria Wien
2406980,87,Roi Kehat,Marco Meilinger,Austria Wien
2406984,59,Dominik Hofbauer,Daniel Luxbacher,SCR Altach
