GameID,League,Season,Date,HomeTeam,AwayTeam,Result
8243399,AUTBundesliga,2016-2017,23.07.2016,Rapid Wien,SV Ried,5:0
8243400,AUTBundesliga,2016-2017,23.07.2016,Sturm Graz,RB Salzburg,3:1
8243401,AUTBundesliga,2016-2017,23.07.2016,SCR Altach,Wolfsberger AC,1:0
8243403,AUTBundesliga,2016-2017,24.07.2016,SKN St. Pölten,Austria Wien,1:2
8243402,AUTBundesliga,2016-2017,24.07.2016,SV Mattersburg,FC Admira Wacker,0:1
8243404,AUTBundesliga,2016-2017,30.07.2016,RB Salzburg,Wolfsberger AC,1:1
8243406,AUTBundesliga,2016-2017,30.07.2016,SV Ried,Sturm Graz,1:0
8243405,AUTBundesliga,2016-2017,31.07.2016,Austria Wien,SV Mattersburg,3:1
8243408,AUTBundesliga,2016-2017,31.07.2016,SCR Altach,Rapid Wien,1:0
8243407,AUTBundesliga,2016-2017,31.07.2016,SKN St. Pölten,FC Admira Wacker,2:1
8243409,AUTBundesliga,2016-2017,06.08.2016,SV Mattersburg,Sturm Graz,0:2
8243410,AUTBundesliga,2016-2017,06.08.2016,RB Salzburg,SKN St. Pölten,2:0
8243411,AUTBundesliga,2016-2017,06.08.2016,FC Admira Wacker,SCR Altach,1:2
8243412,AUTBundesliga,2016-2017,06.08.2016,Wolfsberger AC,SV Ried,1:0
8243413,AUTBundesliga,2016-2017,07.08.2016,Austria Wien,Rapid Wien,1:4
8243416,AUTBundesliga,2016-2017,13.08.2016,SV Ried,RB Salzburg,0:2
8243414,AUTBundesliga,2016-2017,13.08.2016,Rapid Wien,FC Admira Wacker,4:0
8243417,AUTBundesliga,2016-2017,13.08.2016,SCR Altach,SKN St. Pölten,3:1
8243418,AUTBundesliga,2016-2017,13.08.2016,SV Mattersburg,Wolfsberger AC,3:1
8243415,AUTBundesliga,2016-2017,14.08.2016,Sturm Graz,Austria Wien,3:1
8243423,AUTBundesliga,2016-2017,20.08.2016,SKN St. Pölten,Sturm Graz,1:3
8243419,AUTBundesliga,2016-2017,20.08.2016,RB Salzburg,SV Mattersburg,3:1
8243421,AUTBundesliga,2016-2017,20.08.2016,FC Admira Wacker,SV Ried,1:0
8243422,AUTBundesliga,2016-2017,21.08.2016,Wolfsberger AC,Rapid Wien,1:1
8243420,AUTBundesliga,2016-2017,21.08.2016,Austria Wien,SCR Altach,3:1
8243425,AUTBundesliga,2016-2017,27.08.2016,Sturm Graz,SCR Altach,3:1
8243426,AUTBundesliga,2016-2017,27.08.2016,Wolfsberger AC,FC Admira Wacker,5:0
8243569,AUTBundesliga,2016-2017,27.08.2016,SV Mattersburg,SKN St. Pölten,1:1
8243424,AUTBundesliga,2016-2017,28.08.2016,Rapid Wien,RB Salzburg,0:0
