GameID,Player1Home,Player2Home,Player3Home,Player4Home,Player5Home,Player6Home,Player7Home,Player8Home,Player9Home,Player10Home,Player11Home,Player1Away,Player2Away,Player3Away,Player4Away,Player5Away,Player6Away,Player7Away,Player8Away,Player9Away,Player10Away,Player11Away,Bench1Home,Bench2Home,Bench3Home,Bench4Home,Bench5Home,Bench6Home,Bench7Home,Bench8Home,Bench9Home,Bench10Home,Bench11Home,Bench12Home,Bench1Away,Bench2Away,Bench3Away,Bench4Away,Bench5Away,Bench6Away,Bench7Away,Bench8Away,Bench9Away,Bench10Away,Bench11Away,Bench12Away
8243399,Ján Novota,Christoph Schösswendter,Thomas Schrammel,Christopher Dibon,Mario Pavelić,Philipp Schobesberger,Stefan Schwab,Louis Schaub,Srđan Grahovac,Thomas Murg,Joelinton,Thomas Gebauer,Ronny Marcos,Özgür Özdemir,Florian Hart,Thomas Reifeltshammer,Marcel Ziegl,Peter Žulj,Michael Brandner,Patrick Möschl,Clemens Walch,Marvin Egho,Stephan Auer,Maximilian Entrup,Maximilian Hofmann,Ivan Močinić,Richard Strebinger,Tamás Szántó,Arnór Ingvi Traustason,None,None,None,None,None,Alberto Prada,Nico Antonitsch,Dennis Chessa,Reuf Durakovic,Dieter Elsneg,Thomas Fröschl,Mathias Honsak,None,None,None,None,None
8243400,Christian Gratzei,Christian Schoissengeyr,Charalampos Lykogiannis,Lukas Spendlhofer,Fabian Koch,James Jeggo,Uroš Matić,Philipp Huspek,Marc Andre Schmerböck,Deni Alar,Bright Edomwonyi,Alexander Walke,Dayot Upamecano,Duje Ćaleta-Car,Andreas Ulmer,Stefan Lainer,Martin Hinteregger,Valentino Lazaro,Valon Berisha,Yordy Reyna,Konrad Laimer,Munas Dabbur,Fabian Ehmann,Stefan Hierländer,Sascha Horvath,Roman Kienast,Dario Maresić,Marvin Potzmann,Marko Stanković,None,None,None,None,None,Bernardo,Fredrik Gulbrandsen,Jonathan Soriano,Diadie Samassekou,Christian Schwegler,Stefan Stangl,Cican Stanković,None,None,None,None,None
8243401,Andreas Lukse,Galvão,César Ortiz,Philipp Netzer,Andreas Lienhart,Benedikt Zech,Nikola Dovedan,Daniel Luxbacher,Lukas Jäger,Louis NGwat-Mahop,Martin Harrer,Alexander Kofler,Dario Baldauf,Nemanja Rnić,Christian Klem,Joachim Standfest,Michael Sollbauer,Thomas Zündel,Boris Hüttenbrenner,Peter Tschernegg,Christopher Wernitznig,Philipp Prosenik,Martin Kobras,Valentino Müller,Dimitri Oberlin,Boris Prokopič,Emanuel Schreiner,Nikola Zivotić,Jan Zwischenbrugger,None,None,None,None,None,Christian Dobnik,Daniel Drescher,Philip Hellquist,Gerald Nutz,Daniel Offenbacher,Tadej Trdina,Christoph Rabitsch,None,None,None,None,None
8243403,Christoph Riegler,Michael Huber,Kai Heerings,Martin Grasegger,Andreas Dober,David Steć,Peter Brandl,Florian Mader,Lukas Thürauer,Manuel Hartl,Daniel Segovia,Robert Almer,Petar Filipović,Christoph Martschinko,Lukas Rotpuller,Lucas Venuto,Tarkan Serbest,Roi Kehat,De Paula,Raphael Holzhauser,Olarenwaju Kayode,Felipe Pires,Michael Ambichl,Kevin Luckassen,Jeroen Lumu,Paul Pârvulescu,Daniel Petrovic,Daniel Schütz,Thomas Vollnhofer,None,None,None,None,None,Kevin Friesenbichler,Alexander Grünwald,Osman Hadžikić,Marko Kvasina,Thomas Salamon,Ismael Tajouri,Richard Windbichler,None,None,None,None,None
8243402,Markus Kuster,Nedeljko Malić,Alois Höller,Patrick Farkas,Lukas Rath,Michael Novak,Manuel Seidl,Jano,Sven Sprangler,Thorsten Röcher,Patrick Bürger,Jörg Siebenhandl,Fabio Strauss,Stephan Zwierschitz,Markus Wostry,Thomas Ebner,Markus Lackner,Maximilian Sax,Christoph Knasmüllner,Daniel Toth,Eldis Bajrami,Dominik Starkl,Markus Böcskör,Julius Ertlthaler,Mario Grgic,Alexander Ibser,Vitālijs Maksimenko,Markus Pink,Florian Templ,None,None,None,None,None,Ilter Ayyildiz,Markus Blutsch,Florian Fischerauer,Manuel Kuttin,Christoph Monschein,Patrick Schmidt,Toni Vastić,None,None,None,None,None
8243404,Alexander Walke,Dayot Upamecano,Stefan Lainer,Stefan Stangl,Martin Hinteregger,Diadie Samassekou,Valentino Lazaro,Valon Berisha,Bernardo,Munas Dabbur,Jonathan Soriano,Alexander Kofler,Dario Baldauf,Nemanja Rnić,Christian Klem,Joachim Standfest,Michael Sollbauer,Thomas Zündel,Boris Hüttenbrenner,Peter Tschernegg,Christopher Wernitznig,Philipp Prosenik,Duje Ćaleta-Car,Fredrik Gulbrandsen,Konrad Laimer,Marc Rzatkowski,Christian Schwegler,Cican Stanković,Wanderson,None,None,None,None,None,Christian Dobnik,Daniel Drescher,Philip Hellquist,Gerald Nutz,Daniel Offenbacher,Christoph Rabitsch,Benjamin Rosenberger,None,None,None,None,None
8243406,Thomas Gebauer,Özgür Özdemir,Florian Hart,Dennis Chessa,Thomas Reifeltshammer,Marcel Ziegl,Peter Žulj,Mathias Honsak,Michael Brandner,Clemens Walch,Thomas Fröschl,Christian Gratzei,Christian Schoissengeyr,Charalampos Lykogiannis,Lukas Spendlhofer,Fabian Koch,James Jeggo,Uroš Matić,Philipp Huspek,Marc Andre Schmerböck,Deni Alar,Roman Kienast,Alberto Prada,Nico Antonitsch,Thomas Bergmann,Reuf Durakovic,Dieter Elsneg,Ronny Marcos,Patrick Möschl,None,None,None,None,None,Bright Edomwonyi,Fabian Ehmann,Stefan Hierländer,Sascha Horvath,Marvin Potzmann,Christian Schulz,Marko Stanković,None,None,None,None,None
8243405,Robert Almer,Richard Windbichler,Petar Filipović,Ognjen Vukojević,Ismael Tajouri,Alexander Grünwald,De Paula,Thomas Salamon,Raphael Holzhauser,Kevin Friesenbichler,Felipe Pires,Markus Kuster,Vitālijs Maksimenko,Nedeljko Malić,Alois Höller,Patrick Farkas,Lukas Rath,Manuel Seidl,Jano,Sven Sprangler,Thorsten Röcher,Patrick Bürger,Osman Hadžikić,Olarenwaju Kayode,Marko Kvasina,Lucas Venuto,Christoph Martschinko,Lukas Rotpuller,Tarkan Serbest,None,None,None,None,None,Markus Böcskör,Julius Ertlthaler,Mario Grgic,Alexander Ibser,Thorsten Mahrer,Markus Pink,Florian Templ,None,None,None,None,None
8243408,Andreas Lukse,Galvão,Philipp Netzer,Andreas Lienhart,Benedikt Zech,Nikola Dovedan,Daniel Luxbacher,Lukas Jäger,Boris Prokopič,Louis NGwat-Mahop,Martin Harrer,Ján Novota,Christoph Schösswendter,Thomas Schrammel,Maximilian Hofmann,Mario Pavelić,Philipp Schobesberger,Stefan Schwab,Louis Schaub,Srđan Grahovac,Arnór Ingvi Traustason,Joelinton,Martin Kobras,Valentino Müller,Dimitri Oberlin,Patrick Salomon,Emanuel Schreiner,Nikola Zivotić,Jan Zwischenbrugger,None,None,None,None,None,Stephan Auer,Christopher Dibon,Maximilian Entrup,Thomas Murg,Richard Strebinger,Tamás Szántó,Max Wöber,None,None,None,None,None
8243407,Christoph Riegler,Michael Huber,Daniel Petrovic,Martin Grasegger,Andreas Dober,David Steć,Michael Ambichl,Florian Mader,Lukas Thürauer,Daniel Schütz,Kevin Luckassen,Manuel Kuttin,Fabio Strauss,Stephan Zwierschitz,Markus Wostry,Philipp Posch,Thomas Ebner,Markus Lackner,Daniel Toth,Ilter Ayyildiz,Srđan Spiridonović,Christoph Monschein,Peter Brandl,Manuel Hartl,Kai Heerings,Jeroen Lumu,Mario Mosböck,Paul Pârvulescu,Thomas Vollnhofer,None,None,None,None,None,Eldis Bajrami,Christoph Knasmüllner,Andreas Leitner,Ante Roguljić,Dominik Starkl,Toni Vastić,Patrick Wessely,None,None,None,None,None
