GameID,League,Season,Date,HomeTeam,AwayTeam,Result
1729985,braseriea,2012-2013,25.05.2013,Vasco da Gama,Portuguesa (SP),1:0
1729991,braseriea,2012-2013,25.05.2013,EC Vitória BA,Internacional,2:2
1729989,braseriea,2012-2013,26.05.2013,Corinthians SP,Botafogo RJ,1:1
1729993,braseriea,2012-2013,26.05.2013,Grêmio Porto Alegre,Clube Náutico,2:0
1729995,braseriea,2012-2013,26.05.2013,Ponte Preta,São Paulo FC,0:2
1729997,braseriea,2012-2013,26.05.2013,Criciúma EC,EC Bahia,3:1
1730003,braseriea,2012-2013,26.05.2013,Santos FC,Flamengo RJ,0:0
1729987,braseriea,2012-2013,26.05.2013,Fluminense RJ,Atlético Paranaense,2:1
1729999,braseriea,2012-2013,26.05.2013,Cruzeiro EC,Goiás EC,5:0
1730001,braseriea,2012-2013,26.05.2013,Coritiba FC,Atlético Mineiro,2:1
1730021,braseriea,2012-2013,29.05.2013,Atlético Paranaense,Cruzeiro EC,2:2
1730005,braseriea,2012-2013,30.05.2013,Botafogo RJ,Santos FC,2:1
1730009,braseriea,2012-2013,30.05.2013,São Paulo FC,Vasco da Gama,5:1
1730007,braseriea,2012-2013,30.05.2013,Flamengo RJ,Ponte Preta,0:2
1730011,braseriea,2012-2013,30.05.2013,EC Bahia,Coritiba FC,0:0
1730017,braseriea,2012-2013,30.05.2013,Clube Náutico,EC Vitória BA,0:3
1730015,braseriea,2012-2013,30.05.2013,Goiás EC,Corinthians SP,1:1
1730013,braseriea,2012-2013,31.05.2013,Internacional,Criciúma EC,2:0
1730019,braseriea,2012-2013,09.06.2013,Atlético Mineiro,Grêmio Porto Alegre,2:0
1730023,braseriea,2012-2013,13.06.2013,Portuguesa (SP),Fluminense RJ,2:1
1730025,braseriea,2012-2013,01.06.2013,Botafogo RJ,Cruzeiro EC,2:1
1730041,braseriea,2012-2013,01.06.2013,Atlético Paranaense,Flamengo RJ,2:2
1730043,braseriea,2012-2013,01.06.2013,Santos FC,Grêmio Porto Alegre,1:1
1730031,braseriea,2012-2013,01.06.2013,EC Vitória BA,Vasco da Gama,2:0
1730035,braseriea,2012-2013,01.06.2013,Goiás EC,Coritiba FC,1:1
1730029,braseriea,2012-2013,02.06.2013,Corinthians SP,Ponte Preta,1:0
1730027,braseriea,2012-2013,02.06.2013,Fluminense RJ,Criciúma EC,3:0
1730033,braseriea,2012-2013,02.06.2013,Internacional,EC Bahia,1:2
1730037,braseriea,2012-2013,02.06.2013,Clube Náutico,Portuguesa (SP),2:2
1730039,braseriea,2012-2013,02.06.2013,Atlético Mineiro,São Paulo FC,0:0
1730049,braseriea,2012-2013,06.06.2013,São Paulo FC,Goiás EC,0:1
1730057,braseriea,2012-2013,06.06.2013,Criciúma EC,Santos FC,3:1
1730063,braseriea,2012-2013,06.06.2013,Portuguesa (SP),Internacional,1:1
1730045,braseriea,2012-2013,06.06.2013,Vasco da Gama,Atlético Mineiro,2:0
1730053,braseriea,2012-2013,06.06.2013,Grêmio Porto Alegre,EC Vitória BA,1:0
1730055,braseriea,2012-2013,06.06.2013,Ponte Preta,Atlético Paranaense,3:4
1730047,braseriea,2012-2013,06.06.2013,Flamengo RJ,Clube Náutico,0:1
1730051,braseriea,2012-2013,06.06.2013,EC Bahia,Botafogo RJ,2:1
1730059,braseriea,2012-2013,06.06.2013,Cruzeiro EC,Corinthians SP,1:0
1730061,braseriea,2012-2013,07.06.2013,Coritiba FC,Fluminense RJ,2:1
1730077,braseriea,2012-2013,08.06.2013,Criciúma EC,Flamengo RJ,0:3
1730079,braseriea,2012-2013,08.06.2013,Cruzeiro EC,Internacional,2:2
1730065,braseriea,2012-2013,08.06.2013,Vasco da Gama,EC Bahia,1:1
1730069,braseriea,2012-2013,08.06.2013,Corinthians SP,Portuguesa (SP),0:0
1730075,braseriea,2012-2013,09.06.2013,Ponte Preta,Botafogo RJ,0:2
1730067,braseriea,2012-2013,09.06.2013,Fluminense RJ,Goiás EC,2:1
1730071,braseriea,2012-2013,09.06.2013,EC Vitória BA,Atlético Paranaense,3:2
1730081,braseriea,2012-2013,09.06.2013,Coritiba FC,Clube Náutico,1:0
1730083,braseriea,2012-2013,13.06.2013,Santos FC,Atlético Mineiro,1:0
1730073,braseriea,2012-2013,13.06.2013,Grêmio Porto Alegre,São Paulo FC,1:1
1730087,braseriea,2012-2013,06.07.2013,Flamengo RJ,Coritiba FC,2:2
1730097,braseriea,2012-2013,06.07.2013,Clube Náutico,Ponte Preta,1:3
1730101,braseriea,2012-2013,06.07.2013,Atlético Paranaense,Grêmio Porto Alegre,1:1
