GameID,Minute,Player,Team,Card
2353374,22,Gabriel,SE Palmeiras,yellow
2353374,52,Robinho,SE Palmeiras,yellow
2353374,23,Jô,Atlético Mineiro,yellow
2353374,30,Patric,Atlético Mineiro,yellow
2353374,75,Josué,Atlético Mineiro,yellow
2353374,90,Pedro Botelho,Atlético Mineiro,yellow
2353382,73,Rafael Lima,Chapecoense,yellow
2353382,82,Bruno Silva,Chapecoense,yellow
2353382,30,Leandro Almeida,Coritiba FC,yellow
2353382,70,Hélder,Coritiba FC,yellow
2353375,73,Wagner,Fluminense RJ,yellow
2353375,80,Vinicius,Fluminense RJ,yellow
2353375,24,Naldo,Joinville EC,yellow-red
2353377,30,Rafael Galhardo,Grêmio Porto Alegre,yellow
2353377,56,Yuri Mamute,Grêmio Porto Alegre,yellow
2353377,67,Walace,Grêmio Porto Alegre,yellow
2353377,9,Biro Biro,Ponte Preta,yellow
2353377,29,Rildo,Ponte Preta,yellow
2353377,69,Josimar,Ponte Preta,yellow
2353377,73,Renato Cajá,Ponte Preta,yellow
2353377,89,Tiago Alves,Ponte Preta,yellow-red
2353373,30,Húdson,São Paulo FC,yellow
2353373,48,Ganso,São Paulo FC,yellow
2353373,77,Lucas Mugni,Flamengo RJ,yellow
2353378,20,Gabriel Xavier,Cruzeiro EC,yellow
2353378,32,Charles,Cruzeiro EC,yellow
2353378,59,Willians,Cruzeiro EC,yellow
2353378,7,Edílson,Corinthians SP,yellow
2353380,57,Eduardo Santos,Atlético Paranaense,yellow
2353380,62,Silva,Internacional,yellow
2353380,90,Alan Ruschel,Internacional,yellow
2353381,84,Régis,Sport Club Recife,yellow
2353381,40,Marcos Pedroso,Figueirense,yellow
2353381,60,Nirley,Figueirense,yellow
2353381,77,Bruno Alves,Figueirense,yellow-red
2353376,33,Dagoberto,Vasco da Gama,yellow
2353376,38,Luan Garcia,Vasco da Gama,yellow
2353376,68,Christianno,Vasco da Gama,yellow
2353376,32,Wesley,Goiás EC,yellow
2353376,40,Ygor,Goiás EC,yellow
2353376,52,Felipe Macedo,Goiás EC,yellow
2353376,83,Rafael Forster,Goiás EC,yellow
2353376,89,Alex Alves,Goiás EC,yellow
2353379,72,Anderson Lopes,Avaí FC,yellow
2353379,90,Eltinho,Avaí FC,yellow
2353379,88,Cicinho,Santos FC,yellow
2353379,90,Gustavo Henrique,Santos FC,yellow-red
2353390,6,Ruy,Coritiba FC,yellow
2353390,45,Norberto Neto,Coritiba FC,yellow
2353390,17,Marcelo Oliveira,Grêmio Porto Alegre,yellow
2353390,51,Maicon,Grêmio Porto Alegre,yellow
2353390,58,Geromel,Grêmio Porto Alegre,yellow
2353391,25,Péricles,Goiás EC,yellow
2353391,76,Willian Kozlowski,Goiás EC,yellow
2353391,34,Kadu,Atlético Paranaense,yellow
2353391,88,Jadson,Atlético Paranaense,red
2353383,83,Emerson Sheik,Corinthians SP,yellow
2353383,27,Apodi,Chapecoense,yellow
2353383,33,Ananias,Chapecoense,yellow
2353383,45,Bruno Silva,Chapecoense,yellow
2353389,90,Thiago Heleno,Figueirense,yellow
2353389,90,Leandro Silva,Figueirense,yellow
2353389,29,Serginho,Vasco da Gama,yellow
2353389,59,Rafael Silva,Vasco da Gama,yellow
2353389,64,Gilberto,Vasco da Gama,yellow
2353389,68,Dagoberto,Vasco da Gama,yellow
2353389,71,Martín Silva,Vasco da Gama,yellow
2353389,77,Pablo Guiñazú,Vasco da Gama,yellow
2353384,66,Chiquinho,Santos FC,yellow
2353384,65,Willians,Cruzeiro EC,yellow
2353384,73,Fabrício,Cruzeiro EC,yellow
2353384,84,Bruno Rodrigo,Cruzeiro EC,yellow
2353384,90,Willian,Cruzeiro EC,yellow
2353386,20,Jonas,Flamengo RJ,yellow
2353386,45,Héctor Canteros,Flamengo RJ,yellow
2353386,31,Matheus Ferraz,Sport Club Recife,yellow
2353386,90,Joelinton,Sport Club Recife,yellow
2353388,11,Carlos,Atlético Mineiro,yellow
2353388,25,Leonardo Silva,Atlético Mineiro,yellow
2353388,5,Edson,Fluminense RJ,yellow
2353385,65,Felipe Azevedo,Ponte Preta,yellow
2353385,59,Ganso,São Paulo FC,yellow
2353385,77,Paulo Miranda,São Paulo FC,yellow
2353385,90,Luís Fabiano,São Paulo FC,yellow
