GameID,Player1Home,Player2Home,Player3Home,Player4Home,Player5Home,Player6Home,Player7Home,Player8Home,Player9Home,Player10Home,Player11Home,Player1Away,Player2Away,Player3Away,Player4Away,Player5Away,Player6Away,Player7Away,Player8Away,Player9Away,Player10Away,Player11Away,Bench1Home,Bench2Home,Bench3Home,Bench4Home,Bench5Home,Bench6Home,Bench7Home,Bench8Home,Bench9Home,Bench10Home,Bench11Home,Bench12Home,Bench1Away,Bench2Away,Bench3Away,Bench4Away,Bench5Away,Bench6Away,Bench7Away,Bench8Away,Bench9Away,Bench10Away,Bench11Away,Bench12Away
8225157,Paulo Victor,Rodinei,Juan,Léo Duarte,Willian Arão,Jorge,Éverton,Federico Mancuello,Gustavo Cuéllar,Paolo Guerrero,Emerson Sheik,Magrão,Oswaldo Henriquez,Durval,Renê,Samuel Xavier,Gabriel Xavier,Mark González,Rithely,Diego Souza,Reinaldo Lenis,Vinícius Araújo,Alan Patrick,Chiquinho,Rafael Dumas,Ederson,Fernandinho Silva,Gabriel,Márcio Araújo,Pará,Alex Muralha,Felipe Vizeu,Marcelo Cirino,None,Luiz Carlos,Túlio de Melo,Evandro,Matheus Ferraz,Luiz Antônio,Rodrigo Mancha,Neto,Ronaldo,Serginho,None,None,None
8225159,Fernando Prass,Vitor Hugo,Egídio,Jean,Thiago Martins,Cleiton Xavier,Matheus Sales,Tchê Tchê,Lucas Barrios,Roger Guedes,Gabriel Jesus,Wéverton,Sidcley,Paulo André,Léo,Thiago Heleno,Jadson,Otavio,Nikão,Vinicius,Wálter,Ewandro,Alecsandro,Arouca,Erik,Gabriel,João Pedro,Fabiano,Luan,Moisés Mineiro,Rafael Marques,Thiago Santos,Vagner,Zé Roberto,Fernando Barrientos,Cleberson,Eduardo Santos,Marcos Guilherme,Hernani,André Lima,Pablo,Santos,Cristián Vilches,None,None,None
8225160,Uilson Oliveira,Edcarlos,Carlos César,Tiago,Gabriel França,Juan Cazares,Lucas Cândido,Carlos Eduardo,Clayton,Eduardo,Hyuri,Vanderlei,Victor Ferraz,Gustavo Henrique,David Braz,Zeca,Renato,Vitor Bueno,Ronaldo Mendes,Thiago Maia,Gabriel Barbosa,Paulinho,Luiz Guilherme,Fillipe Soutto,Giovanni Santos,Lauro,Leonan,Pablo Diogo,Yago Severin,Filipinho,None,None,None,None,Alison,Caju,Lucas Crispim,Elano,Rafael Longuine,Luiz Felipe,Fernando Medeiros,Matheus Nolasco,Maxi Rolón,Serginho,Edwin Valencia,Vladimir
8225162,Wilson,Rafael Marques,Juninho,Carlinhos,Dodô,Alan Santos,César González,Ruy,João Paulo,Vinícius,Kléber Gladiador,Fábio,Léo,Bruno Rodrigo,Lucas,Juan Sánchez Miño,Henrique,Élber,Lucas Romero,Allano,Willian,Matiás Pisano,Nery Bareiro,Cesar Benitez,Elisson,Icaro,Leandro,Thiago Lopes,Negueba,Jorge Ortega,Guilherme Parede,Reginaldo,Raphael Veiga,Walisson Maia,Alex Apolinário,Fabricio Bruno,Ariel Cabral,Douglas Coutinho,Lucas França,Federico Acevedo,Marciel,Bruno Nazário,Rafael,Bruno Ramires,Rafael Silva,Bruno Viana
8225156,Helton Leite,Renan Fonseca,Emerson Silva,Victor Luís,Luiz Ricardo,Bruno Silva,Rodrigo Lindoso,Leandrinho,Fernandes,Neilton,Ribamar,Renan Ribeiro,Lucão Cavalcante,Diego Lugano,Lyanco,Auro,Banguele,Wilder Guisao,Ricardo Centurión,Matheus Reis,Lucas Fernandes,Alan Kardec,Anderson Aquino,Emerson Santos,Dierson,Saulo,Diego,Damián Lizio,Luis Henrique,Geovane Maranhão,Marcinho,Marquinho,Juan Manuel Salgueiro,Sassá,Felipe Araruna,Luiz Araujo,Pedro Bortoluzo,Artur,Kelvin,Leo,Thiago Mendes,Rogério,Lucas Kal,None,None,None
8225165,Tiago Cardoso,Danny Morais,Neris,Vitor,Wellington,Tiago Costa,Uillian Correia,Fernando Gabriel,Arthur,Grafite,Keno,Fernando Miguel,Victor Ramos,Ramon,Diego Renan,Amaral,Tiago Real,José Welison,Vander,Marcelo,Kieza,Leandro Domingues,Alemão,Daniel Costa,Edson,Leó Moura,Marcilio,Bruno Moraes,Roberto,Allan Vieira,Wallyson,None,None,None,Alípio,David,Euller,Flávio,William Henrique,Kanu,Norberto Neto,Wallace,Rafaelson,None,None,None
8225158,Walter,Fabián Balbuena,Uendel,Fágner,Felipe Monteiro,Elías,Bruno Henrique,Rodriguinho,Marquinhos Gabriel,André,Ángel Romero,Marcelo Grohe,Geromel,Fred,Marcelo Oliveira,Walace,Ramiro,Maicon,Miller Bolaños,Luan,Giuliano,Bobô,Guilherme Arana,Giovanni Augusto,Marlone,Cristian Baroni,Danilo,Guilherme,Lucca,Luciano,Maycon,Vílson,Willians,Caíque,Henrique Almeida,Douglas,Edinho,Everton,Bruno Grassi,Marcelo Hermes,Lincoln,Kaio,Léo Tilica,Werley,None,None
8225163,Júnior Oliveira,Marcos Pedroso,Jaimerson,Bruno Alves,Ferrugem,Jocinei,Jefferson,Bady,Elicarlos,Rafael Moura,Gustavo Ermel,João Carlos,Douglas Grolli,Kadu,Reinaldo,Jeferson,João Vitor,Ravanelli,Matheus Jesus,Felipe Azevedo,Wellington Paulista,Clayson,Ayrton,Jackson,Dodô,Dudu,Marquinhos,Michael Ortega,Luan Polli,Guilherme Queiróz,Thiago Rodrigues,Yago,Guilherme Morassi,None,Léo Cereja,César,Diogo Mateus,Fábio Ferreira,Gilson,Felipe Menezes,Rhayner,Roger,Tiago Alves,Vinicius,None,None
8225164,João Ricardo,Sueliton,Artur Jesus,Alison,Rafael Bastos,Claudinei,Osman Júnior,Leandro Guerreiro,Danilo Barcelos,Tiago Luis,Victor Rangel,Diego Cavalieri,Jonathan,Gum,Wellington Silva,Henrique,Cícero,Edson,Fred,Osvaldo,Richarlison,Gustavo Scarpa,Helder,Borges,Christian Sávio,Ernandes,Fernando Leal,Makton,Maranhão,Roger,Bruno Sávio,Glauco Passos,Guilherme Xavier,Vitor Ruas,Magno Alves,Felipe Amorim,Júlio César,Renato Chaves,Gerson,Giovanni,Marcos Júnior,Higor,Marlon,None,None,None
8225161,Alisson,William,Ernando,Artur,Paulão,Fernando Bob,Fabinho,Andrigo,Eduardo Sasha,Vitinho,Aylon,Danilo,Dener,Marcelo,Thiego,Cláudio Winck,Josimar,Gil,Cléber Santana,Bruno Rangel,Ananias,Lucas Gomes,Alisson Farias,Gustavo Ferrareis,Geferson,Jair,Marquinhos,Muriel Becker,Paulo Magalhaes,Raphinha,Réver,None,None,None,Rodrigo,Marcelo Boeck,Gimenez,Hyoran,Igor,Kempes,Rafael Lima,Lourency,Moisés Ribeiro,Neném,Silvinho,None
