GameID,Minute,Scorer,Team
8225157,5,Éverton,Flamengo RJ
8225159,19,Roger Guedes,SE Palmeiras
8225159,46,Gabriel Jesus,SE Palmeiras
8225159,52,Thiago Martins,SE Palmeiras
8225159,87,Gabriel Jesus,SE Palmeiras
8225160,15,Juan Cazares,Atlético Mineiro
8225162,71,Kléber Gladiador,Coritiba FC
8225156,22,Lucas Fernandes,São Paulo FC
8225165,28,Grafite,Santa Cruz FC
8225165,44,Grafite,Santa Cruz FC
8225165,85,Fernando Gabriel,Santa Cruz FC
8225165,87,Keno,Santa Cruz FC
8225165,80,Kieza,EC Vitória BA
8225164,39,Fred,Fluminense RJ
8225174,24,Felipe Azevedo,Ponte Preta
8225174,33,Felipe Azevedo,Ponte Preta
8225174,90,Moisés Mineiro,SE Palmeiras
8225167,57,Gustavo Scarpa,Fluminense RJ
8225167,60,Gum,Fluminense RJ
8225167,53,Grafite,Santa Cruz FC
8225167,83,Grafite,Santa Cruz FC
8225170,56,Élber,Cruzeiro EC
8225170,63,Douglas Coutinho,Cruzeiro EC
8225170,41,Rafael Moura,Figueirense
8225170,55,Rafael Moura,Figueirense
8225169,62,Vitor Bueno,Santos FC
8225169,90,Renato,Santos FC
8225169,20,Kléber Gladiador,Coritiba FC
8225172,10,André Lima,Atlético Paranaense
8225172,77,Juan Cazares,Atlético Mineiro
8225166,30,Leandro Domingues,EC Vitória BA
8225166,57,Marinho,EC Vitória BA
8225166,65,Kieza,EC Vitória BA
8225166,26,Uendel,Corinthians SP
8225166,39,Fágner,Corinthians SP
8225168,87,Diego Lugano,São Paulo FC
8225168,37,Eduardo Sasha,Internacional
8225168,89,Eduardo Sasha,Internacional
8225171,54,Fred,Grêmio Porto Alegre
8225173,48,Bruno Rangel,Chapecoense
8225173,77,Silvinho,Chapecoense
8225173,78,Bruno Rangel,Chapecoense
8225173,20,Rafael Bastos,América MG
8225175,17,Diego Souza,Sport Club Recife
8225175,29,Fernandes,Botafogo RJ
8225176,18,Ribamar,Botafogo RJ
8225176,73,Neilton,Botafogo RJ
8225176,58,Vinicius,Atlético Paranaense
8225183,38,Rafael Moura,Figueirense
8225183,90,Gustavo Ermel,Figueirense
8225183,43,Vitor Bueno,Santos FC
8225183,57,Joel Tagueu,Santos FC
8225177,8,Felipe Vizeu,Flamengo RJ
8225177,90,Alan Patrick,Flamengo RJ
8225177,13,Bruno Rangel,Chapecoense
8225177,80,Hyoran,Chapecoense
8225184,74,Victor Rangel,América MG
8225184,85,Kieza,EC Vitória BA
8225179,57,Vitor Hugo,SE Palmeiras
8225179,59,Alecsandro,SE Palmeiras
8225182,63,Alan Santos,Coritiba FC
8225182,79,Rogério,São Paulo FC
8225185,20,Grafite,Santa Cruz FC
8225185,65,Grafite,Santa Cruz FC
8225185,77,Arthur,Santa Cruz FC
8225185,90,Keno,Santa Cruz FC
8225185,53,Giorgian de Arrascaeta,Cruzeiro EC
8225178,22,Bruno Henrique,Corinthians SP
8225178,80,Guilherme,Corinthians SP
8225178,15,Kadu,Ponte Preta
8225181,58,Renê,Sport Club Recife
8225180,18,Marcelo Oliveira,Grêmio Porto Alegre
8225180,26,Luan,Grêmio Porto Alegre
8225180,45,Luan,Grêmio Porto Alegre
8225190,82,Giorgian de Arrascaeta,Cruzeiro EC
8225190,29,Victor Rangel,América MG
8225192,23,Ewandro,Atlético Paranaense
8225192,44,Thiago Heleno,Atlético Paranaense
8225192,74,Bruno Alves,Figueirense
8225193,84,Lucas Gomes,Chapecoense
8225193,38,Arthur,Santa Cruz FC
8225194,12,Wellington Paulista,Ponte Preta
8225194,21,Felipe Azevedo,Ponte Preta
8225194,43,Jorge,Flamengo RJ
8225195,70,Lucca,Corinthians SP
8225195,79,Marquinhos Gabriel,Corinthians SP
8225186,79,Kieza,EC Vitória BA
8225186,37,Patric,Atlético Mineiro
8225187,51,Fred,Fluminense RJ
8225188,12,Ganso,São Paulo FC
8225189,84,Aylon,Internacional
8225191,40,Everton,Grêmio Porto Alegre
8225191,68,Luan,Grêmio Porto Alegre
8225201,39,Vitinho,Internacional
8225198,82,Giovanni Augusto,Corinthians SP
8225202,10,Rafael Marques,Coritiba FC
8225202,67,Jorge Ortega,Coritiba FC
8225202,90,Juninho,Coritiba FC
8225202,24,Bruno Rangel,Chapecoense
8225202,40,Bruno Rangel,Chapecoense
8225202,82,Bruno Rangel,Chapecoense
8225202,90,Lucas Gomes,Chapecoense
8225205,9,Edmilson,Sport Club Recife
8225196,27,Élber,Cruzeiro EC
8225200,2,Tiago,Atlético Mineiro
8225200,31,Gustavo Scarpa,Fluminense RJ
8225203,16,Rafael Moura,Figueirense
8225204,24,Danilo Barcelos,América MG
8225204,6,Felipe Azevedo,Ponte Preta
8225204,18,Clayson,Ponte Preta
8225197,64,Felipe Vizeu,Flamengo RJ
8225199,2,Gabriel Jesus,SE Palmeiras
8225199,57,Roger Guedes,SE Palmeiras
8225199,73,Vitor Hugo,SE Palmeiras
8225199,84,Thiago Santos,SE Palmeiras
8225199,45,Giuliano,Grêmio Porto Alegre
8225199,55,Giuliano,Grêmio Porto Alegre
8225199,90,Edílson,Grêmio Porto Alegre
8225212,60,Deivid,Atlético Paranaense
8225208,89,André,Corinthians SP
8225208,90,Uendel,Corinthians SP
8225208,45,Negueba,Coritiba FC
8225209,11,Vitor Bueno,Santos FC
8225209,35,Paulinho,Santos FC
8225209,70,Bruno Silva,Botafogo RJ
8225214,71,Osman Júnior,América MG
8225206,4,Marinho,EC Vitória BA
8225207,6,Alan Patrick,Flamengo RJ
8225207,4,Gabriel Jesus,SE Palmeiras
8225207,72,Jean,SE Palmeiras
8225211,90,Luan,Grêmio Porto Alegre
8225215,26,Rithely,Sport Club Recife
8225215,45,Gabriel Xavier,Sport Club Recife
8225215,73,Edmilson,Sport Club Recife
8225215,76,Diego Souza,Sport Club Recife
8225215,22,Júnior Urso,Atlético Mineiro
8225215,30,Robinho,Atlético Mineiro
8225215,42,Patric,Atlético Mineiro
8225215,45,Robinho,Atlético Mineiro
8225210,23,Ytalo,São Paulo FC
8225221,3,Aylon,Internacional
8225221,6,Aylon,Internacional
8225221,73,Ernando,Internacional
8225221,20,Adalberto,América MG
8225224,45,Felipe Azevedo,Ponte Preta
8225224,90,William Pottker,Ponte Preta
8225224,79,Arthur Maia,Chapecoense
8225217,75,Marcos Júnior,Fluminense RJ
8225217,41,Marcelo Hermes,Grêmio Porto Alegre
8225218,41,Maicon,São Paulo FC
8225218,66,Otavio,Atlético Paranaense
8225218,88,Hernani,Atlético Paranaense
8225216,52,Sassá,Botafogo RJ
8225216,90,Victor Ramos,EC Vitória BA
8225222,37,Ruy,Coritiba FC
8225222,48,Kléber Gladiador,Coritiba FC
8225222,71,Luccas Claro,Coritiba FC
8225222,25,Diego Souza,Sport Club Recife
8225222,52,Diego Souza,Sport Club Recife
8225219,48,Cleiton Xavier,SE Palmeiras
8225220,14,Rafael Carioca,Atlético Mineiro
8225220,56,Fred,Atlético Mineiro
8225220,19,Alisson,Cruzeiro EC
8225220,49,Duvier Riascos,Cruzeiro EC
8225220,63,Bruno Rodrigo,Cruzeiro EC
8225223,42,Rafael Moura,Figueirense
8225225,45,Zeca,Santos FC
8225225,65,Joel Tagueu,Santos FC
8225228,76,Jonathan Calleri,São Paulo FC
8225228,86,Diego Lugano,São Paulo FC
8225233,18,Thiego,Chapecoense
8225233,26,Bruno Rangel,Chapecoense
8225233,81,Thiego,Chapecoense
8225233,3,Geromel,Grêmio Porto Alegre
8225233,42,Jailson,Grêmio Porto Alegre
8225233,83,Giuliano,Grêmio Porto Alegre
8225234,3,Fábio Ferreira,Ponte Preta
8225234,62,Reinaldo,Ponte Preta
8225234,69,Jeferson,Ponte Preta
8225234,11,Paulo André,Atlético Paranaense
8225234,90,Wálter,Atlético Paranaense
8225226,24,Sassá,Botafogo RJ
8225226,32,Sassá,Botafogo RJ
8225226,39,Sassá,Botafogo RJ
8225226,48,Bruno Sávio,América MG
8225229,66,Gabriel Barbosa,Santos FC
8225229,88,Vitor Bueno,Santos FC
8225235,26,Lelê,Santa Cruz FC
8225230,43,Réver,Flamengo RJ
8225232,20,João Paulo,Coritiba FC
8225232,90,Leandro,Coritiba FC
8225232,7,Roger Guedes,SE Palmeiras
8225232,69,Jonathan Cristaldo,SE Palmeiras
8225231,35,Eduardo Sasha,Internacional
8225231,75,Vitinho,Internacional
8225227,63,Cícero,Fluminense RJ
8225239,29,Dudu,SE Palmeiras
8225239,45,Jean,SE Palmeiras
8225239,65,Dudu,SE Palmeiras
8225239,51,Grafite,Santa Cruz FC
8225242,88,Paulo André,Atlético Paranaense
8225244,55,Adalberto,América MG
8225244,58,Borges,América MG
8225244,50,Kléber Gladiador,Coritiba FC
8225236,73,Marinho,EC Vitória BA
8225236,72,Sérgio Manoel,Chapecoense
8225236,76,Thiego,Chapecoense
8225240,24,Leandro Donizete,Atlético Mineiro
8225240,28,Juan Cazares,Atlético Mineiro
8225240,85,Carlos,Atlético Mineiro
8225237,59,Willian Arão,Flamengo RJ
8225237,12,Jonathan Calleri,São Paulo FC
8225237,22,Rodrigo Caio,São Paulo FC
8225237,51,Jonathan Calleri,São Paulo FC
8225238,24,Bruno Henrique,Corinthians SP
8225238,53,Marquinhos Gabriel,Corinthians SP
8225238,89,Bruno Henrique,Corinthians SP
8225238,28,Leandrinho,Botafogo RJ
8225243,41,Bady,Figueirense
8225243,73,Ferrugem,Figueirense
8225243,80,Bady,Figueirense
8225243,65,Vitinho,Internacional
8225243,83,Vitinho,Internacional
8225245,40,Gabriel Xavier,Sport Club Recife
8225245,90,Diego Souza,Sport Club Recife
8225245,85,Magno Alves,Fluminense RJ
8225241,44,Luan,Grêmio Porto Alegre
8225241,52,Douglas,Grêmio Porto Alegre
8225249,19,Gabriel Jesus,SE Palmeiras
8225249,27,Gabriel Jesus,SE Palmeiras
8225254,8,Henrique,Cruzeiro EC
8225254,21,Giorgian de Arrascaeta,Cruzeiro EC
8225254,55,Giorgian de Arrascaeta,Cruzeiro EC
8225254,78,Alisson,Cruzeiro EC
8225255,15,Willian Arão,Flamengo RJ
8225247,14,Marcos Júnior,Fluminense RJ
8225247,66,Marcos Júnior,Fluminense RJ
8225247,39,Rodrigão,Santos FC
8225247,45,Gabriel Barbosa,Santos FC
8225247,51,Gabriel Barbosa,Santos FC
8225247,73,Luiz Felipe,Santos FC
8225250,67,Fred,Atlético Mineiro
8225250,83,Juan Cazares,Atlético Mineiro
8225250,90,Lucca,Corinthians SP
8225251,26,Kieza,EC Vitória BA
8225251,32,Diego Renan,EC Vitória BA
8225251,56,Victor Ramos,EC Vitória BA
8225252,70,Nery Bareiro,Coritiba FC
8225252,34,Anderson,Internacional
8225260,15,Willian,Cruzeiro EC
8225260,48,Willian,Cruzeiro EC
