GameID,Minute,PlayerIn,PlayerOut,Team
8637536,46,Sassá,Rafael Sóbis,Cruzeiro EC
8637536,67,Federico Mancuello,Ariel Cabral,Cruzeiro EC
8637536,76,Rafael Marques,Robinho,Cruzeiro EC
8637536,58,Jailson,Maicon,Grêmio Porto Alegre
8637536,76,Matheus Bressan,André,Grêmio Porto Alegre
8637536,85,Michel,Everton,Grêmio Porto Alegre
8637539,46,Juninho,Alexander Baumjohann,EC Vitória BA
8637539,67,Guilherme Costa,Pedro Botelho,EC Vitória BA
8637539,79,Jeferson,Rodrigo Andrade,EC Vitória BA
8637539,27,Willian Arão,Henrique Dourado,Flamengo RJ
8637539,56,Geuvânio,Lucas Paquetá,Flamengo RJ
8637539,85,Pará,Vinicius Júnior,Flamengo RJ
8637543,77,Arthur Gomes,Rodrygo,Santos FC
8637543,80,Vitor Bueno,Léo Cittadini,Santos FC
8637543,86,Diego Pituca,Jean Mota,Santos FC
8637543,14,Javier Reina,Ricardinho,Ceará SC
8637543,69,Roberto,Wescley,Ceará SC
8637543,86,Arnaldo,Felipe Azevedo,Ceará SC
8637538,81,Gerson Magrão,Christian Sávio,América MG
8637538,81,Zé Ricardo,Luan,América MG
8637538,86,Wesley,Serginho,América MG
8637538,46,Sander,Cláudio Winck,Sport Club Recife
8637538,46,Gabriel,Ferreira,Sport Club Recife
8637538,69,Everton Felipe,Fellipe Bastos,Sport Club Recife
8637540,57,Rildo,Rafael Galhardo,Vasco da Gama
8637540,64,Thiago Galhardo,Wellington,Vasco da Gama
8637540,64,Andrés Ríos,Duvier Riascos,Vasco da Gama
8637540,78,Yago Severin,Gustavo Blanco,Atlético Mineiro
8637540,86,Erik,Rómulo Otero,Atlético Mineiro
8637540,89,Roger Guedes,Juan Cazares,Atlético Mineiro
8637544,68,Emerson Sheik,Mateus Vital,Corinthians SP
8637544,71,Maycon,Renê Júnior,Corinthians SP
8637544,79,Pedrinho,Ángel Romero,Corinthians SP
8637544,24,Frazan,Ibañez,Fluminense RJ
8637544,76,João Carlos,Pedro,Fluminense RJ
8637544,89,Marcos Júnior,Renato Chaves,Fluminense RJ
8637545,11,Nicolás López,Rossi,Internacional
8637545,73,Brenner,William Pottker,Internacional
8637545,88,Gabriel Dias,Andrés DAlessandro,Internacional
8637545,46,Júnior Brumado,Marco Antonio,EC Bahia
8637545,70,Régis,Vinicius,EC Bahia
8637545,81,Agustin Allione,Zé Rafael,EC Bahia
8637537,57,Éderson,Ribamar,Atlético Paranaense
