Roberto Martínez
750.75
3

Thibaut Courtois (FC Chelsea)
Simon Mignolet (FC Liverpool)
Koen Casteels (VfL Wolfsburg)
Matz Sels (RSC Anderlecht)

Toby Alderweireld (Tottenham Hotspur)
Dedryck Boyata (Celtic)
Laurent Ciman (LAFC)
Leander Dendoncker (RSC Anderlecht)
Christian Kabasele (FC Watford)
Vincent Kompany (Manchester City)
Jordan Lukaku (Lazio Rom)
Thomas Meunier (Paris Saint-Germain)
Thomas Vermaelen (FC Barcelona)
Jan Vertonghen (Tottenham Hotspur)

Yannick Carrasco (Dalian Yifang)
Nacer Chadli (West Bromwich Albion)
Kevin De Bruyne (Manchester City)
Mousa Dembele (Tottenham Hotspur)
Marouane Fellaini (Manchester United)
Adnan Januzaj (Real Sociedad)
Youri Tielemans (AS Monaco)
Axel Witsel (Tianjin Quanjian)

Michy Batshuayi (Chelsea / BVB)
Christian Benteke (Crystal Palace)
Eden Hazard (FC Chelsea)
Thorgan Hazard (Borussia Mönchengladbach)
Romelu Lukaku (Manchester United)
Dries Mertens (SSC Napoli)
