Jose Pekerman
307.25
16

David Ospina (FC Arsenal)
Camilo Vargas (Deportivo Cali)
Iván Arboleda (Banfield)
José Fernando Cuadrado (Once Caldas)

Cristian Zapata (AC Mailand)
Dávinson Sánchez (Tottenham)
Santiago Arias (PSV Eindhoven)
Óscar Murillo (Pachuca CF)
Frank Fabra (Boca Juniors)
Johan Mojica (Girona)
Yerry Mina (FC Barcelona)
William Tesillo (Santa Fe)
Bernardo Espinosa (Girona)
Stefan Medina (CF Monterrey)
Farid Díaz (CD Olimpia)

Wílmar Barrios (Boca Juniors)
Carlos Sánchez (Espanyol Barcelona)
Jefferson Lerma (Levante)
José Izquierdo (Brighton Hove & Albion)
James Rodríguez (FC Bayern München)
Giovanni Moreno (Shanghái Shenhua)
Abel Aguilar (Deportivo Cali)
Mateus Uribe (CF América)
Yimmi Chará (Júnior FC)
Juan Fernando Quintero (River Plate)
Edwin Cardona (Boca Juniors)
Juan Guillermo Cuadrado (Juventus Turin)
Gustavo Cuéllar (CR Flamengo)
Sebastián Pérez (Boca Juniors)

Radamel Falcao García (AS Monaco)
Duván Zapata (Sampdoria Genua)
Miguel Borja (Palmeiras)
Carlos Bacca (FC Villareal)
Luis Fernando Muriel (FC Sevilla)
Teófilo Gutiérrez (Júnior FC)
