Héctor Cúper
129.89
46

Essam El-Hadary (Al Taawoun)
Mohamed El-Shennawy (Al Ahly)
Sherif Ekramy (Al Ahly)
Mohamed Awad (Ismaily)

Ahmed Fathi (Al Ahly)
Saad Samir (Al Ahly)
Ayman Ashraf (Al Ahly)
Mahmoud Hamdy (Zamalek)
Mohamed Abdel-Shafy (Al Fath)
Ahmed Hegazi (West Brom)
Ali Gabr (West Brom)
Ahmed Elmohamady (Aston Villa)
Karim Hafez (RC Lens)
Omar Gaber (LAFC)
Amro Tarek (Orlando City)

Tarek Hamed (Zamalek)
Mahmoud Abdel Aziz (Zamalek)
Shikabala (Al Raed)
Abdallah Said (KuPS)
Sam Morsy (Wigan)
Mohamed Elneny (FC Arsenal)
Kahraba (Al-Ittihad)
Ramadan Sobhi (Stoke City)
Mahmoud „Trezeguet“ Hassan (Kasimpasa)
Amr Warda (Atromitos)

Marwan Mohsen (Al Ahly)
Ahmed Gomaa (Al Masry)
Ahmed Hassan (SC Braga)
Mohamed Salah (FC Liverpool)
