Gareth Southgate
720.00
13

Jack Butland (Stoke)
Jordan Pickford (Everton)
Nick Pope (Burnley)

Trent Alexander-Arnold (FC Liverpool)
Gary Cahill (FC Chelsea)
Kyle Walker (Manchester City)
John Stones (Manchester City)
Harry Maguire (Leicester City)
Kieran Trippier (Tottenham Hotspur)
Danny Rose (Tottenham Hotspur)
Phil Jones (Manchester United)
Ashley Young (Manchester United)

Eric Dier (Tottenham Hotspur)
Dele Alli (Tottenham Hotspur)
Jesse Lingard (Manchester United)
Jordan Henderson (FC Liverpool)
Fabian Delph (Manchester City)
Ruben Loftus-Cheek (FC Chelsea)

Jamie Vardy (Leicester City)
Marcus Rashford (Manchester United)
Raheem Sterling (Manchester City)
Danny Welbeck (FC Arsenal)
Harry Kane (Tottenham)
