Carlos Queiroz
50.90
36

Alireza Beiranvand (Persepolis)
Seyed Hossein Hosseini (Esteghlal)
Rashid Mazaheri (Zob Ahan)
Amir Abedzadeh (Maritimo)

Ramin Rezaeian (Ostende)
Voria Ghafouri (Esteghlal)
Steven Beitashour (Los Angeles FC)
Seyed Jalal Hosseini (Persepolis)
Mohammad Reza Khanzadeh (Padideh)
Morteza Pouraliganji (Alsaad)
Mohammad Ansari (Persepolis)
Pejman Montazeri (Esteghlal)
Seyed Majid Hosseini (Esteghlal)
Milad Mohammadi (Akhmat Grozny)
Omid Nourafkan (Esteghlal)
Saeid AGhaei (Sepahan)
Roozbeh Cheshmi (Esteghlal)

Saeid Ezatolahi (Amkar Perm)
Masoud Shojaei (AEK Athens)
Ahmad Abdolahzadeh (Foolad)
Saman Ghoddos (Ostersunds)
Mahdi Torabi (Saipa)
Ashkan Dejagah (Notthingham Forest)
Omid Ebrahimi (Esteghlal)
Ehsan Hajsafi (Olympiacos)
Ali Karimi (Sepahan)
Soroush Rafiei (Al-khor)
Ali Gholizadeh (Saipa)
Vahid Amiri (Persepolis)

Alireza Jahanbakhsh (AZ Alkmaar)
Karim Ansarifard (Olympiacos)
Mahdi Taremi (Al-Gharafa)
Sardar Azmoun (Rubin Kazan)
Reza Ghoochannejhad (Heerenveen)
Kaveh Rezaei (Charleroi)
