Adam Nawalka
282.60
10

Bartosz Bialkowski (Ipswich Town)
Lukasz Fabianski (Swansea City)
Lukasz Skorupski (AS Rom)
Wojciech Szczesny (Juventus Turin)

Jan Bednarek (FC Southampton)
Bartosz Bereszynski (Sampdoria Genua)
Thiago Cionek (SPAL Ferrara)
Kamil Glik (AS Monaco)
Artur Jedrzejczyk (Legia Warschau)
Marcin Kaminski (VfB Stuttgart)
Tomasz Kedziora (Dynamo Kiew)
Michal Pazdan (Legia Warschau)
Lukasz Piszczek (Borussia Dortmund)

Jakub Blaszczykowski (VfL Wolfsburg)
Pawel Dawidowicz (US Palermo)
Przemyslaw Frankowski (Jagiellonia Bialystok)
Jacek Goralski (Ludogorets Razgrad)
Kamil Grosicki (Hull City)
Damian Kadzior (Gornik Zabrze)
Grzegorz Krychowiak (West Bromwich Albion)
Rafal Kurzawa (Gornik Zabrze)
Karol Linetty (Sampdoria Genua)
Maciej Makuszewski (Lech Posen)
Krzysztof Maczynski (Legia Warschau)
Slawomir Peszko (Lechnia Gdansk)
Maciej Rybus (Lokomotive Moskau)
Sebastian Szymanski (Legia Warschau)
Piotr Zielinski (SSC Neapel)
Szymon Zurkowski (Gornik Zabrze)

Dawid Kownacki (Sampdoria Genua)
Robert Lewandowski (FC Bayern München)
Arkadiusz Milik (SSC Neapel)
Krzysztof Piatek (Cracovia Krakau)
Lukasz Teodorczyk (RSC Anderlecht)
Kamil Wilczek (Bröndby Kopenhagen)
