Fernando Santos
483.95
4

Anthony Lopes (Olympique Lyon)
Beto (Göztepe Izmir)
Rui Patricio (Sporting Lissabon)

Bruno Alves (Glasgow Rangers)
Cedric Soares (FC Southampton)
José Fonte (Dalian Yifang)
Mario Rui (SSC Neapel)
Pepe (Besiktas Istanbul)
Raphael Guerreiro (Borussia Dortmund)
Ricardo Pereira (FC Porto)
Ruben Dias (Benfica Lissabon)

Adrien Silva (Leicester City)
Bruno Fernandes (Sporting Lissabon)
Joao Mario (West Ham United)
Joao Moutinho (AS Monaco)
Manuel Fernandes (Lokomotive Moskau)
William Carvalho (Sporting Lissabon)
Bernardo Silva (Manchester City)

André Silva (AC Mailand)
Cristiano Ronaldo (Real Madrid)
Gelson Martins (Sporting Lissabon)
Goncalo Guedes (FC Valencia)
Ricardo Quaresma (Besiktas Istanbul)
