Tae-Yong Shin
77.25
61

Seung-Gyu Kim (Vissel Kobe)
Jin-Hyeon Kim (Cerezo Osaka)
Hyun-Woo Cho (Daegu FC)

Young-Gwon Kim (Guangzhou Evergrande)
Hyun-Soo Jang (FC Turin)
Seung-Hyun Jung (Sagan Tosu)
Yong-Sun Yun (Seongnam FC)
Kyung-Won Kwon (Tianjin Quanjian)
Ban-Suk Oh (Jeju United)
Jin-Su Kim (Jeonbuk Hyundai Motors)
Min-Woo Kim (Sangju Sangmu)
Ju-ho Park (Ulsan Hyundai)
Hong Chul (Sangju Sangmu)
Yo-Han Go (FC Seoul)
Yong Lee (Jeonbuk Hyundai Motors)

MTITELFELD: Sung-Yong Ki (Swansea City)
Woo-Young Jung (Vissel Kobe)
Chang-hun Kwon (verletzt / FCO Dijon)
Se-Jong Ju (Asan Mugunghwa FC)
Ja-Cheol Koo (FC Augsburg)
Jae-Sung Lee (Jeonbuk Hyundai Motors)
Seung-Woo Lee (Hellas Verona)
Seon-Min Moon (Incheon United)
Chung-Yong Lee (Crystal Palace)

Shin-Wook Kim (Jeonbuk Hyundai Motors)
Heung-Min Son (Tottenham Hotspur)
Hee-Chan Hwang (Red Bull Salzburg)
Keun-Ho Lee (Gangwon FC)
