Vladimir Petkovic
263.00
6

Yann Sommer (Borussia Mönchengladbach)
Roman Bürki (Borussia Dortmund)
Yvon Mvogo (RB Leipzig)

Ricardo Rodriguez (AC Mailand)
Stephan Lichtsteiner (Juventus Turin)
François Moubandje (FC Toulouse)
Nico Elvedi (Borussia Mönchengladbach)
Johan Djourou (Antalyaspor)
Fabian Schär (Deportivo La Coruña)
Manuel Akanji (Borussia Dortmund)
Leo Lacroix (FC Basel)

Granit Xhaka (FC Arsenal)
Valon Behrami (Udinese Calcio)
Remo Freuler (Atalanta Bergamo)
Denis Zakaria (Borussia Mönchengladbach)
Blerim Dzemaili (FC Bologna)
Fabian Frei (FC Basel)
Steven Zuber (1899 Hoffenheim)
Admir Mehmedi (VfL Wolfsburg)
Xherdan Shaqiri (Stoke City)

Breel Embolo (FC Schalke 04)
Haris Seferovic (Benfica Lissabon)
Josip Drmic (Borussia Mönchengladbach)
Eren Derdiyok (Galatasary Istanbul)
