Zlatko Dalic
356.70
18

Lovre Kalinic (KAA Gent)
Dominik Livakovic (Dinamo Zagreb)
Danijel Subasic (AS Monaco)

Duje Caleta-Car (Red Bull Salzburg)
Vedran Corluka (Lokomotive Moskau)
Tin Jedvaj (Bayer Leverkusen)
Dejan Lovren (FC Liverpool)
Matej Mitrovic (FC Brügge)
Josip Pivaric (Dynamo Kiew)
Ivan Strinic (Sampdoria Genua)
Domagoj Vida (Besiktas Istanbul)
Sime Vrsaljko (Atletico Madrid)

Milan Badelj (AC Florenz)
Filip Bradaric (HNK Rijeka)
Marcelo Brozovic (Inter Mailand)
Mateo Kovacic (Real Madrid)
Luka Modric (Real Madrid)
Ivan Rakitic (FC Barcelona)

Nikola Kalinic (AC Mailand)
Andrej Kramaric (1899 Hoffenheim)
Mario Mandzukic (Juventus Turin)
Ivan Perisic (Inter Mailand)
Marko Pjaca (Schalke 04)
Ante Rebic (Eintracht Frankfurt)
