Òscar Ramírez
44.58
25

Keylor Navas (Real Madrid)
Patrick Pemberton (LD Alajuelense)
Leonel Moreira (CS Herediano)

Christian Gamboa (Celtic Glasgow)
Ian Smith (IFK Norrköping)
Ronald Matarrita (New York City FC)
Bryan Oviedo (FC Sunderland)
Oscar Duarte (Espanyol Barcelona)
Giancarlo Gonzalez (FC Bologna)
Francisco Calvo (Minnesota United FC)
Kendall Waston (Vancouver Whitecaps)
Jhonny Acosta (Rionegro Aguilas)

David Guzman (Portland Timbers)
Yeltsin Tejeda (FC Lausanne-Sport)
Celso Borges (Deportivo La Coruna)
Randall Azofeifa (CS Herediano)
Rodney Wallace (New York City FC)
Bryan Ruiz (Sporting Lissabon)
Daniel Colindres (Deportivo Saprissa)
Christian Bolanos (Deportivo Saprissa)

Johan Venegas (Deportivo Saprissa)
Joel Campbell (Betis Sevilla)
Marco Urena (Los Angeles FC)
