Heimir Hallgrímsson
68.00
22

Hannes Halldorsson (Randers)
Runar Runarsson (Nordsjaelland)
Frederik Schram (Roskilde)

Kari Arnason (Aberdeen)
Holmar Eyjolfsson (Levski Sofia)
Rurik Gislason (Sandhausen)
Sverrir Ingason (Rostow)
Hordur Magnusson (Bristol City)
Birkir Saevarsson (Valur)
Ragnar Sigurdsson (Rostow)
Ari Skulason (Lokeren)

Birkir Bjarnason (Aston Villa)
Samuel Fridjonsson (Valerenga)
Johann Gudmundsson (Burnley)
Aron Gunnarsson (Cardiff City)
Emil Hallfredsson (Udinese)
Gylfi Sigurdsson (Everton)
Olafur Skulason (Karabukspor)
Arnor Traustason (Malmö FF)

Jon Bödvarsson (Reading)
Alfred Finnbogason (Augsburg)
Albert Gudmundsson (PSV)
Bjorn Sigurdarson (Rostow)
